country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1981.66024155579,480.697147810019,4564.10994842923,107937.085729007,30208.6944998323,8618.56955482788,1462.38809746242,17095.7483017704,589.54887679175,10744.7004740845,20133.9540409805,59054.4959344251,4755.00070771123,13702.5120481189,17004.5851184545,34690.660264213
2,3011.81805931475,154.501042778998,2930.43107288494,313858.578263665,195910.620261073,2886.56374401758,293.410952757898,18585.85216753,2584.03592421311,11794.8181150593,45418.9438417682,15062.0484308308,4565.52954855359,22009.7897281988,23794.7659712217,157195.829724138
3,1453.36069242375,293.866914650909,9066.13110265948,2093974.13676754,452097.386269473,18772.842873481,3532.30030112223,39791.9757789666,12676.6498276293,36898.1236072059,75687.0279360331,57995.0739197494,11193.2248964396,27735.149970556,31059.8221743154,235626.190665707
4,3350.74449939503,380.043315171053,9873.95077403341,261846.251600655,26207.6931065038,18210.7663204517,2777.70602573888,26385.9707023593,1147.44629155423,29651.0275345266,93439.6628313923,46242.1520847063,2606.53853498955,10597.9707807321,11513.6888942697,280468.8924849
5,3343.88507105237,348.398654132931,13156.9767627731,1004312.30038111,187611.411969282,25857.7676436105,5644.26164953376,46323.0504034752,3421.9410993731,16697.8852717824,57070.1671185934,21820.3082774068,9750.19103846951,42456.6559660111,23857.5269516362,202231.668048862
6,1452.35077619471,145.026689582364,4585.64471637329,262268.012904196,75723.8630583271,7292.06408766981,1328.28768524818,6709.97459386357,354.735955789197,11372.0466366783,39275.7407549104,10966.9242798514,832.418946761715,11113.5411962776,16043.2017911428,90109.758829418
7,1685.52219593025,196.963878850963,7206.35574071642,1179951.8640032,296446.599394571,6470.49136346165,7019.27911908759,26286.7137710763,5374.53187435532,37706.1860167063,89374.6491582588,28316.5964273809,4384.02371764542,31904.4571122185,43557.1755375572,242907.816565551
8,1676.4139303383,254.904236624863,7513.31282649117,628189.679871527,245823.925994841,22589.42042575,14187.3109526677,25325.6062820733,13504.6071873083,36995.4828042898,70479.2495442586,23856.3785838593,7754.49750487314,27274.5283354783,18581.3368958943,340525.585745808
9,1919.23646500989,235.422987379296,2260.88663157211,245186.909973131,121982.915907917,13351.3911433122,365.944134318932,15022.4310696814,633.833856867347,9151.75965117924,25985.275783128,7540.82549198341,1732.60616833012,11034.0181057733,12924.5845461336,86932.7340665212
10,2907.47710643906,234.755927939371,3269.76764094314,114591.686543134,51461.9631850436,3904.9808549989,13986.7391837448,6298.4780681106,2103.81709024804,5854.12933969915,8004.90207397787,5394.41615172591,654.799768453604,15315.2318541409,7138.9063522122,71506.14715868
11,3027.96184337965,617.683196647176,16397.9703347394,1513166.26068981,116386.935926875,8608.2027727457,3292.77291857032,38070.5748265865,9882.72831647559,59608.9897125402,63527.0443551207,81880.9221841902,11489.0701249875,33522.0534152864,63346.5669070233,218624.822163379
12,1315.09046051272,464.057455147203,12542.7276779484,681625.423021999,32752.8968243303,6515.29525023795,552.844519862465,25073.0465599036,6504.27346739961,14644.670795051,40009.1842962501,23813.5370314722,6003.61012613931,24620.0571072305,37871.3095427361,178002.025469744
13,959.189968850699,429.594237176859,19924.983791578,2900967.61865027,378016.476355838,5479.00351328273,16090.0944396372,57761.6490621703,96438.1647318259,5456.61617342331,36819.3460673684,11691.0937417726,14790.8752963296,24178.6072203314,31551.7631481056,21269.559746998
14,1397.35630861435,446.634429365213,5587.20190251832,124385.128312557,25156.6852674962,1012.41124580403,3289.90489779133,25394.2360667418,5036.94650727715,6183.13075432782,11704.0440361174,12351.8898893807,2267.74820076321,8572.65719491508,13432.0519482457,112270.438842929
15,2814.99780048668,322.718411316467,4226.9234864399,275616.738402811,134972.57616731,17096.9718831035,1125.26235205019,68228.3252966316,6589.49416348447,29291.8305979171,49691.3534909073,29935.2964142605,10420.6759983609,24562.6593521068,38701.4065598156,430166.213071608
16,3047.2822102078,165.761466478056,1869.79234946765,79784.2585276938,33370.9396029668,189.676347827142,64.5135804631572,1174.52439500926,427.181901096001,212.614138904373,3012.1738384927,633.299221402465,439.505423864063,1367.92657157231,2218.2370683523,1336.88447516499
17,251.970661607236,602.015004260827,18865.8863652468,1545710.9949828,309630.272623638,5862.40981661432,2421.2469933097,22210.6842713479,7908.74111316777,30014.8860579528,34092.9856543628,40453.9144443889,8145.30855602681,23468.3594010635,42306.0934673789,32356.7521751421
18,181.609099906353,368.581378188362,15577.412818126,1335470.48532796,190173.058222534,3364.57729476545,47848.6294861271,25156.3466902251,8520.01290153273,5292.58540848012,12357.8510543198,8112.94036626959,9306.30833042969,28463.1369614513,36775.7836367071,16388.1063019057
19,3423.08689058338,283.83078031571,12891.732199242,1658848.0543968,294235.620795026,55418.0406356014,21786.0753902856,76778.1968067891,14553.5402930964,16026.3040728552,62985.7588966444,22047.8110845894,20148.6307392541,40268.1557041504,35892.850161901,190835.459040978
20,1350.93048554967,278.86102834125,6002.44082675496,417958.329370127,222459.900723784,12147.9287984388,1500.36866098094,18297.9533512529,567.75283908535,15813.2098154574,46269.9699040908,13371.7962864555,2549.06772743379,28613.3584401104,30195.3222211193,148910.509611458
21,1702.50254846246,215.819467657903,2210.64991232892,73507.5195457584,21131.0955245541,19686.2812360877,2839.4715947322,5307.01245174593,699.977612955901,4118.13571866659,5403.72095831076,6306.93323068318,1827.25934864228,4796.49206745271,8513.55077857068,32183.5374331292
22,1579.64784587514,357.478713652011,3942.94561302731,82919.6557856137,23175.9372183494,2682.51805918001,4350.76637807171,10508.1800979118,591.144785004735,5329.43414601224,4370.09467375175,12356.3941886619,5662.64269668499,19503.1947156155,16414.5004206868,26442.710718296
23,2651.33894952855,234.084515455261,1622.69926258519,82063.6333220643,40916.1424866788,7881.9483189455,1495.21814697912,7721.14397424038,513.09036530569,3324.68057879818,12622.1730611242,8493.61632256827,3025.24551742035,9897.13292966312,12766.390533216,19101.1510252118
24,263.803275121052,405.935445426399,11287.2205785493,388408.196121515,125113.791703198,3256.00560307693,6652.51946415709,9707.09415655917,3939.40188443087,5404.14164580074,12184.4900142738,5998.43608633215,3512.61509175211,19872.2861191609,7371.26157604543,36978.5158539569
25,1247.03025076348,245.564326892717,4820.33556470924,215462.454145228,54928.5168703628,3988.23034722075,981.232680362792,10515.040013172,1225.43448221605,11210.7059535843,20398.5406343305,6348.08379471127,1489.23439973687,25054.1072889165,13355.949421866,106721.954395822
26,2426.92446935308,388.866816951042,16129.9237240398,2817969.77073813,538065.942774575,28877.4885180809,195.371933811285,43070.5507392899,4897.3397388356,51238.4602949121,114600.088199372,68390.6744546311,8002.98048485474,162096.004159283,83730.7231653319,314688.792729189
27,1902.37822587365,316.896659400047,5899.07540739727,312233.950250813,101635.30416757,16315.4863283387,1972.71350875804,36063.3906739652,1156.01214531533,53529.8864616363,56715.621544863,22709.5793446456,2179.40766275481,18848.2949039555,51612.6456064135,306054.367098751
28,1732.58648066627,174.665009222238,6317.85890556965,523807.839715454,107816.158545405,15170.6820008122,9188.36883812149,25899.3395798648,3463.49976166915,7062.94861726353,76654.2414356966,20098.8524396847,4414.5117776346,13545.3986434272,24459.4356926038,192474.304905413
29,3579.35722734194,270.512749608309,8455.02752110822,306004.909903902,26408.549942685,16528.136936341,2929.60903267184,20793.3775189242,1589.72760331859,3687.72499018941,11600.903016365,7703.98872301109,1810.88088136189,14253.434892771,8702.99657072791,17823.6759138241
30,2204.5312991896,365.248585657201,5733.28832221628,288844.478906916,108080.707822643,4219.12854950002,6517.4647567568,41396.8349147494,2489.97923771064,23683.9752434255,31861.2807897442,27814.7071683152,9961.81633709963,38314.1573451873,43191.3568936054,370535.255717262
31,1790.82064915745,187.926097153736,2427.37560707435,85860.3012968222,37952.7231621072,4310.80604654812,1317.90587515713,13446.9050926646,2801.65281005532,5831.1675797173,9840.9331867973,12810.6812182298,2348.32579198794,7636.40366344685,13707.2544144656,75052.463443174
32,2192.93618082432,213.684641373772,2487.38912199591,162144.541142214,75191.6784819057,22028.8755415024,5818.10385454396,38428.6358319586,1827.0512749804,22165.4588220834,39906.935894073,19396.4078194034,4002.69944116872,16911.9689336775,11094.2977267186,240960.289385246
33,3184.48561834201,483.443081183471,5365.26467646696,126302.845532472,26371.645039088,1031.54844467751,31415.4714587986,21590.4660655219,10247.185479442,2680.68402106044,15964.0605368443,12960.9954572967,3709.24186073678,7443.84483252243,10732.5837216505,161086.843594325
34,1332.13387048684,303.161186954825,11000.058059035,1133712.66400262,123391.680764251,66701.3475062021,13575.076695145,26107.4274574303,8128.40587866367,12387.3511778892,60429.9658222107,10306.823678067,7705.8091172169,23959.3438367792,27585.7918881461,172906.93790094
35,884.400882114584,260.872010518567,6400.43206568964,346211.74543049,57680.4271796468,3778.39175007505,10040.7362197088,7052.59480773839,2392.77693806516,5711.50712916655,14566.2756289025,8117.14634651046,1519.23997481955,9593.83533672646,13062.1658584472,20119.4669610045
36,312.994603675264,236.968690418853,12139.7709184952,3234928.04333899,953187.92799755,11939.932192779,15612.9546085693,51527.5012764582,7806.27395306811,28817.1878620832,97012.3147660262,29145.3059305037,6311.21444903867,80170.068727862,34589.3315028736,37726.3029913264
37,1268.22612984932,229.108750111254,9624.76205472722,1264218.05530385,173402.011183225,12167.3385613963,18512.5991423008,38615.4580681981,15055.1302010888,18898.3673621008,31258.4845408614,16497.8072147734,7134.09012028163,26830.1457349673,26703.1991033555,89562.2754880257
38,2441.34872910345,221.218410635654,8830.69350241881,860994.92688123,113167.689046383,13688.4687527236,17889.1165279466,45532.3118326721,5114.9918796753,22365.9234945947,43045.6694221831,15339.8323402306,4003.50396362016,15675.0730250584,30304.5359768223,140661.884348869
39,2676.54038400024,415.279368577699,8648.72067759026,184032.277207756,86408.4795604726,4646.73274662035,1318.80379317705,22084.5270830312,2775.58180844719,9820.02249564646,8128.0528679961,26114.3463391129,7292.6082935241,8568.7647366587,10097.5024875423,24004.8995425922
40,2220.40463267691,148.895152377893,3885.30102869453,206532.160175133,79631.6245196346,3022.37846700003,3087.83935669963,41446.1492257155,2208.82338233696,6111.37913936643,57812.999830216,7584.44566595323,2972.11657059226,9133.55057632221,20439.5517335139,199511.620435863
41,1113.51576637705,346.755085344322,4543.84151767051,283369.024855343,145990.701179065,4329.2773707771,208.042564292094,24187.6521407494,1709.41908229647,15799.3906036651,41454.1135769287,57223.3592155061,5080.2348370184,16547.0793444109,12915.7981648157,159363.168415573
42,179.099145682961,378.128825118769,14413.450786693,3037621.91693498,440872.155241064,7266.44817402375,23920.7039612297,56957.9413325419,6717.90577186746,31602.9432141955,45531.2573307275,44311.6934267734,22187.6071543857,50026.9248557749,38302.1636444007,20246.8815882689
43,1659.14148492293,320.546525905639,10261.1511146524,1423425.87977354,184317.02807198,8438.78180818587,5479.14388123568,33497.2616758373,3501.66994300829,17300.9363162236,81717.3737531386,28486.1399494197,8046.22140156524,64828.4816743432,41001.3036850437,137388.593819365
44,1737.65037251409,569.4019334275,10957.9311723008,625275.826892104,283240.94243919,42716.0239778961,186.191277384915,58571.5232647925,2618.1577840659,57458.251819764,83761.7501171862,44670.3607648548,4659.92892165532,27249.664064582,62201.0385673202,502515.718802733
45,1672.56017705537,474.965078283678,4987.2218696233,112862.189528905,30202.1292578435,6831.98377701016,1153.24464312855,30202.9300896922,2098.90951486442,12072.4890487034,32031.1233803487,26945.2688752752,7777.61501003174,13314.276942054,8417.1585043891,140323.326133231
46,1769.8867110599,247.347753898043,6586.06191686651,917789.558227983,406418.766556214,26380.8024470042,5327.41912446805,53370.7309214316,3195.74866482916,20503.2629536211,69132.8594360125,25830.4175264605,9609.46636231416,43849.246719521,25734.5154316203,306596.262256166
47,406.062452571068,549.564434214133,17387.17308229,1471115.48708704,210482.446191925,7024.83834520106,442.555573442457,36156.8806367364,5997.84178669767,23123.9835592047,40340.6922835202,19959.4446316865,3586.119342467,46731.3285824456,67443.2829494003,176861.435883079
48,2129.45142689942,268.325257229133,3566.23319338728,213384.970289135,41853.3361017467,3113.57128038965,426.550171402477,8788.79243757977,683.607579092504,6938.42911211681,12863.2435060987,10078.9295781955,1998.93115283173,27590.3449022838,19318.7092348841,21378.2637358032
