country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1628.93371138739,529.294364987536,4065.96465341096,96585.3838443277,26341.7061983099,4614.1506162834,728.019735738243,30359.4352065293,1191.4492970024,20863.9000127819,59344.5570063097,123938.325481876,2846.52509112264,9957.35607283271,13782.2221150992,219146.340994874
2,1991.07052073354,197.576981339345,5540.61209167035,366585.434197791,106025.645678368,2962.81829356834,286.72437352505,24610.3009039059,3376.57147013608,16040.7027929437,62342.0890263013,23169.8453315007,4763.01154473291,23382.8951171842,26396.0202026071,232232.995631238
3,1450.93361677058,296.28279461664,9329.54570340565,2267111.20540196,425662.000018645,19101.2785382499,3659.80895320421,40295.4238202466,13420.8561636094,36871.5901514532,77021.9500012404,57692.6886704679,11529.0286127188,29234.4316680786,32477.244785518,225099.775285666
4,2892.37908339466,381.175642054563,9926.00125272888,255270.436677067,25957.9636728966,17820.4100835184,2718.2466979739,25827.7066837746,1122.8466322473,29029.074286864,91562.3877094655,45323.881541633,2551.09415313526,10382.0545444557,11301.8486722621,274716.17534739
5,1648.76032538935,428.420860808239,14396.2430555067,1034920.11438148,83354.3232294926,26247.6938534823,5512.77429916868,52441.5938418806,3497.06441575575,19556.0486860082,67463.6895767265,23999.1589174008,9901.3441284052,43764.722282573,24395.8705021224,269526.700292123
6,1585.13435497985,168.455668123233,5097.2540550714,266328.25249154,68677.6012475597,7821.80782397678,1377.47453663387,8306.10543721616,409.38446476095,14636.9078726876,50269.9796082313,12967.9848350922,896.920706381792,12233.1553718606,17637.1554741548,128783.012119303
7,1789.63186148223,238.679139567278,9289.94546724411,1488596.17822039,256986.322833123,7814.58148526903,8170.1611739716,36392.640254319,6759.13374825091,53931.8241963294,128540.931820057,36003.531673193,5308.53750799241,38950.0812462339,48271.5263967255,396720.895442572
8,1737.18607159979,313.513182819856,11169.2398828318,1739085.75230821,178297.354717123,30787.0342445227,21246.0240164478,29932.6370472444,20232.9105757584,40659.2725529405,77820.021972932,26755.2964209967,11102.1742896949,35801.0609475221,23745.6704942479,299390.113057085
9,1759.67032954227,282.934508541584,7969.1799528327,655967.382907973,144513.810138868,16166.4547567164,479.914716060546,23782.6346577956,1323.50338603434,15101.5885884356,43437.4251171584,9701.33398057084,2340.57561837485,16911.4667678449,17492.5651646972,135342.069559816
10,1772.3256938979,277.874326250193,3425.05160150375,97346.2130818117,40653.7526328823,6092.84182756765,19446.7623663645,15536.9662824467,4588.46650175006,15587.0065371681,23073.477862509,10577.1009742964,1036.51453668289,27860.8540878496,8590.93415364507,259088.962319277
11,1501.85047526857,712.914117787357,17734.1946750999,841926.37851478,96185.6354724488,7380.69499091582,2478.80274008427,43884.9409490616,8529.90734328819,77204.4199316933,78505.1955431858,85940.6395534338,9406.31221716508,26186.2781195243,45124.6853120901,435780.795162312
12,1508.01146075027,512.998010216474,11925.9068669034,700928.831717578,23944.7342681112,6775.01861375717,557.398756708243,28842.8571843487,6972.71899049104,17334.6485643521,48265.6748840227,26787.1523946603,6256.99906861299,25466.9252553654,42631.8396772093,234590.924369873
13,1697.68141529848,431.80009974203,13861.8514246809,1051827.82727964,56997.182989635,1861.15053092369,5416.70633065048,26601.2047645139,39587.3841198901,2774.51842880004,14509.5982513122,7225.72130149686,5042.86680259272,8906.17103400735,12005.9267973006,25356.7041994277
14,1602.97806245491,564.919573589365,13599.2654666702,324081.311549609,17724.2408060799,1753.9657054141,5573.90805364864,56915.7727715987,11882.7086551233,14175.5368213362,29052.1308241206,23547.6863088305,4088.98900208289,15641.1169792241,25932.2552783802,293146.046595155
15,3018.19989965604,326.453184900177,4964.71273928603,278748.472584783,136078.590180228,16497.0435276759,1085.04311487719,66632.2780307844,6430.30297879012,28609.9439831017,48764.2803929333,29131.383153305,10099.2005406742,23857.9134155285,37799.6975307305,421654.331898975
16,2929.92548353036,171.256708821895,2127.87970549883,71412.1063338625,15988.1577131067,2547.59900285315,537.831029391358,28645.9270773987,3548.66730616818,7956.87929056129,76782.21427727,14491.9811318338,4504.91553095818,10225.1521389008,33925.4556203114,280759.798031296
17,236.96888087636,610.4897986333,18972.0519914789,1544887.57228112,312165.063734144,5837.16664728555,2414.20992297781,22045.9091902593,7887.7276497184,29683.045718997,33735.0231655215,40237.6580963434,8115.77925702404,23394.3214836882,42138.7735724196,29827.0296263132
18,180.780501650608,369.469433808238,15630.6092077175,1340891.30064448,191023.354383838,3378.20420796262,48006.5604462459,25259.8493561847,8548.93692382295,5313.64472879921,12386.6222328637,8128.2599897164,9340.70565472681,28535.4910214549,36777.2750145135,16304.4169663742
19,1669.7765310122,327.497845155705,15061.7202303272,1694090.43075197,300221.220948522,41823.2495126973,17934.9892314424,62452.128658246,14560.9076651384,13142.8213972617,51802.412351961,17458.4650953115,16352.5055730783,36152.5840812997,31438.0601427717,103257.631692551
20,1544.4310773401,305.613746930711,6356.12938692887,412907.861113099,205489.952728915,11976.4314487582,1450.55115100138,21450.144390274,647.845124253214,19334.3214997601,54972.7493458023,14455.0782064193,2543.34909228849,32022.6068650849,32130.8645206954,189454.697475849
21,2662.29335833644,254.184603547732,2747.77484398625,54411.6124312756,14744.4207903955,22472.0131259309,2869.36060994889,13864.1223662612,1970.05218574502,12116.3443599737,23437.8534515457,10274.9381163149,2225.1698912363,6256.08586417546,12402.597622643,202516.507529452
22,1688.01436004461,477.419128765066,6882.08165238908,122287.234108394,20544.2322369312,3586.362274397,5203.30145462996,37035.3047521278,2034.58004907566,21587.0379367858,28528.7795657111,24109.1719007351,8240.16995594893,32433.5418881678,33009.3809359032,349531.989002647
23,2612.2478704673,234.56231850425,1506.82380568235,86408.29921613,43546.9769401604,9576.27576146804,1612.04493927198,26524.443866305,1715.0917321831,13174.8201596542,84932.7357767535,15406.6222187983,4018.42830697397,13884.6075204753,24336.9766350651,281959.912690497
24,1444.48845608649,438.061328695229,10406.5053725942,273465.757188564,71231.8201015506,7085.40559206536,10772.3845579655,32024.866159365,7112.85038058394,22433.2975363804,47233.9400836632,20524.2548428163,6648.3436981408,32664.8071065824,17004.7961832548,331378.130142241
25,1325.16001782363,274.772453859012,10774.4869583908,1074093.89364432,90314.6178557067,9972.03954680758,2788.2535288804,22924.0857581516,3690.47283403619,22177.2259848331,41137.3857090846,13299.5827204465,4029.7479849493,57806.854348599,35362.7930915375,156392.953470348
26,1311.52642454846,458.024583270947,21327.356804274,3108685.66241674,614519.68430957,31642.3629450841,209.328929062128,54039.4696269232,5756.72875241131,67095.9252257754,152259.863927931,79016.9106315117,8816.49634296769,175848.669368788,92759.1631649315,525224.149807609
27,1944.07337940121,409.952325288141,17457.0765523538,949047.989425841,134198.723598713,21578.0926857735,2693.23045166012,56202.6358331885,2065.04800003408,82710.2902707723,95201.4624787036,30779.4082705824,3069.07976303805,26144.0041889451,71669.1583390912,493651.051957666
28,1804.54431005565,197.892478672257,7565.56802887567,550396.29857727,117659.133913539,14236.7125891612,8726.23775583885,26291.4057662857,3634.57736755755,7236.78006206252,79005.7730476791,19302.3157796788,4233.79104472637,13310.4305128958,23655.4632832425,199580.642952498
29,3618.70271536386,270.898869150207,8335.81496084475,311696.185256281,26604.7351333114,4771.56922327497,957.161519257131,20179.9627755347,2947.37122783497,3913.54431180581,15148.6289541887,6007.87215559369,646.627372424346,8547.10826084172,6417.55915592673,50211.0981424477
30,2037.40537076111,366.075874228992,6079.38750362673,295065.985027406,109875.162815624,3840.94188946952,5990.4260351229,38163.6999583973,2345.84025298404,21773.7510637742,29540.8230535119,25414.3925082773,9161.28236122004,35096.20586806,40283.1200631686,340852.944461731
31,1951.51632658302,229.241918093859,2529.39921089465,89277.5975125225,42615.7343156289,4903.17666603519,1374.91846507755,27614.0521422502,5908.33987768982,12828.8829355487,26482.1890915304,18975.7292781265,2826.74556176709,9179.00663176302,19777.7036596936,242832.773005738
32,2228.46065881773,236.614799887918,9322.23531362289,476431.332663889,64924.4311640724,31451.9480323906,8442.25174808092,61976.4350730377,3158.10010175369,35641.6486472296,68082.3416148685,28957.4400611876,5971.57892979805,25336.0109805023,17759.0039049812,400486.521964588
33,1701.85248959941,604.326494495856,14763.4135688393,374084.58952882,29611.6547764,1632.04564357695,48284.7573917992,51284.4207733022,28100.3291983828,6575.00203437176,46209.6214045353,24032.3363068309,6263.38995918806,13265.1019578487,20198.2497150671,490569.044958869
34,1396.69069823853,339.432686452431,14229.8539513767,1405849.51200177,146605.368601687,60999.9322718578,13262.8826935824,23338.5581043064,8782.64365918947,10515.6205702403,50251.286908208,9366.20981717869,7428.91262865381,23128.1784924813,26013.9454954052,92836.3531146097
35,1068.00888213301,303.141100641451,7280.81083028861,506353.300158866,64420.6917367502,5308.05708384033,13132.2203844784,15654.0329198022,4402.72561924861,14541.6229780702,42075.8223633185,13595.4577031547,2176.97792436726,14060.5091223726,17885.0297356093,142778.813634758
36,285.309478246183,241.542531881767,12290.0219121049,3244049.04077997,960986.174655625,11922.4525293178,15608.7282536648,51258.3899283011,7804.70944023745,28564.4400803326,96279.2338399368,28959.8068494073,6306.26771277908,80126.5790788715,34484.3071250449,33627.3322634363
37,1477.16332061244,290.923302391575,10443.7480572325,1088514.47255937,120475.78542736,12482.3444279391,16226.0800171024,48694.4428537136,14451.9275529418,27173.739209345,45111.9708534979,18430.5243116029,6790.76991862255,23625.4584818985,21886.7081563642,221031.741686043
38,2004.88781281102,271.922270351217,3259.98951717091,257667.74862729,29823.733965686,2781.18518611498,3729.08033938593,14322.0969312603,1731.05801993508,7683.1953398129,10982.6840892644,3863.87443606418,866.00346248941,4782.87574373823,7936.00344853003,29789.5137989634
39,2882.9528586852,414.843741336606,8783.16990484453,187414.474873637,87182.5436764753,1348.66450513672,412.782384546836,22714.4475712291,5436.84185041214,10863.6422157264,12819.2596440254,17333.3708753107,2543.38816855224,4761.28866225204,5581.88518300223,63637.7344960079
40,1687.47854765314,200.052190502689,7110.77339341636,531417.920630774,85443.7709354837,3951.80270968147,4284.79038283681,52117.0547213929,3204.81123550293,7427.37852445901,71652.4483377965,9094.67917486317,4043.76653677531,12439.918391643,24850.9383279053,225331.97681327
41,1207.17225424754,432.074856142923,17497.035269146,2483085.20037974,456548.520935809,12287.2489348917,680.754142147498,67146.3258194919,7285.73278096017,39412.4072254002,110026.026083697,127508.666935083,16146.8076784817,54653.0359917153,30728.9046792845,295755.544938409
42,184.146710066375,377.301704738139,14411.2813703832,3009355.99478194,439161.815272786,7236.17277270632,23747.4929092434,57057.4713284598,6668.76939036291,31841.8606067629,45760.7510181249,44425.3068038393,22061.7828491605,49780.4513696036,37852.1093321176,25500.8686065514
43,1884.29949142181,390.852443567278,7343.4446520831,825296.476239938,101821.352270376,4846.74538817058,3128.7670635477,25950.2139938579,2346.90290653901,14068.8130134122,66117.5972344153,31007.3223479877,4736.828615012,40544.3312538329,31101.1290818293,143530.086227028
44,2270.25535944054,653.714966646478,12718.6613992675,742048.623951465,301678.28572862,28538.4906320937,133.00043181894,47098.622412609,2375.03415693428,41932.7437389354,59526.6927086064,40364.3385410541,3294.93542050792,21693.058465525,51713.8745872063,320038.587703625
45,1744.34660339927,612.453395461718,12366.6877366221,159507.33182121,29922.5011584198,11854.9191025083,1830.81780317713,81779.1683480779,5230.52137462546,34535.8076406509,102557.280196168,57762.5082756616,13942.8613173913,24071.1771338793,17080.1845306679,518311.283087923
46,1813.68217091482,260.925973771423,6435.72281568365,909316.803509782,423185.209746599,25363.3469841641,5106.79845835498,54853.4984442049,3281.3185681247,21305.0792537967,72318.1868526229,25686.4501963688,9327.59169998989,43492.7140337726,25554.4668566904,327550.070204357
47,1485.78635351237,565.181160347333,14440.4361882403,749431.97713151,83739.4084954699,6410.32781217625,344.236935505333,43553.3072974821,4675.46700120691,31964.9459088048,56494.3026580566,25535.4570972591,3063.26433331292,42083.430327884,71100.7462025466,395315.34803612
48,2113.78115428782,312.774915439414,2684.85548573155,145642.47134739,38414.5479487476,749.762832678956,105.915626077544,7670.41902177807,1009.3550459716,8075.33672996031,17387.2666253054,4984.89955379722,565.956252040091,17748.6012937574,11186.4994137203,61709.8181971931
49,2582.20401011819,120.397577645324,4747.57724104162,239852.005293426,57495.6213255956,1333.73844258106,2826.12083671169,13211.0207457626,3404.03570447835,1742.13177551023,10374.9313822839,4574.72796520574,833.58990123863,5790.22762807104,5652.44466252809,41935.4539101238
50,2557.1117744733,179.282249633094,8270.79987037341,908555.003137454,137826.833627678,20874.8726405558,2357.24926134539,37323.4838293514,4873.82631748062,18387.2313248032,48286.3664625887,9588.73113638895,2032.82995731492,29574.6782129343,28037.0461138788,165367.805935029
51,1691.94520449185,280.223089725679,6965.51480323666,204690.677367161,47314.0406099752,7917.73271478463,2164.63219189813,67019.4156400988,6952.7920106278,18787.7535619084,32228.477667624,26755.3860239077,5210.84088750866,13546.3367157077,22486.7832748421,287648.408130746
52,1771.39535410875,189.289719846137,4918.65318021587,199424.660786856,61847.0582593902,8062.84456088448,9984.74873022239,10314.6448292418,3489.83419901607,12358.9434850079,28545.3961378187,4363.53910986283,1356.18431644602,30029.4209679726,15801.452426179,167297.070001429
53,2079.27799670895,461.364738022191,18333.8858143947,426558.859305544,135170.95680885,10734.088937724,30947.2441652128,90554.034742081,19537.2351788489,20262.0481933391,86771.5627874772,39636.354384429,10582.7993868337,32653.0277184254,31771.7147565556,744975.813725993
54,1344.17546421638,547.775358016319,12244.0790878044,327980.125948367,76761.6344965834,6140.8193977439,16117.8298699519,23237.6333008593,9613.55942500171,17702.1528390277,28815.895834533,19239.2306649706,12272.3998521187,15346.6734935996,10215.7360890569,191120.346097011
55,1686.63997024026,272.501896627776,4944.46707311271,448328.964253926,253807.600850911,21343.7287722744,2828.29151595455,35842.1370730862,1595.85408980337,15448.8770678349,88190.0307713412,14452.0197633816,5770.99876728598,32656.5388629002,30667.9307238541,317208.669622893
56,1207.48567657758,274.127101494078,10958.8003814541,1181546.05766481,187320.527317134,8089.4446849149,3824.06880891594,49561.3924336635,15615.2089148246,5744.01667538001,33657.7089129091,12742.2500912369,8920.47010343511,17697.677111659,40800.6562279725,159671.272625184
57,1822.10022536535,178.991167196805,5615.99146599164,419545.214209272,106453.112013199,5598.07385453074,4280.75142296647,33289.2870657779,9996.04275630438,7017.2527257874,29299.6906261405,8833.48594464251,4689.72553349591,7198.90612923746,25531.5195020392,196270.562762524
58,1723.08502324325,436.440722496281,16271.5597446488,1618796.39488302,488311.232817721,8875.15773783452,1926.81101599509,47879.8298823353,4466.13512770101,35697.2315837155,96583.890521563,52411.4968134255,0,94124.9557074153,81960.0608892515,734534.79642176
59,1877.87818915032,425.643414956792,9568.48733427278,297274.919838335,39112.4807672349,6650.78875885795,10398.1977910673,26123.9172998653,3958.55041835399,17443.5167888798,39855.7403231173,21065.5774463497,2019.46221005225,18876.4507522657,18532.7262764781,236820.979944593
60,2316.35977259571,456.037921239868,13474.4863410139,2146249.92213221,285389.157902474,55434.3497486488,107.654524257398,33197.9142717016,20693.6438986044,7539.53141728611,48537.3963123874,75917.3647967563,7092.77806794397,28239.5504716336,90384.8990771529,95271.0835752812
61,1796.7418442658,350.80294919946,8081.78724934751,121913.146291204,21254.8077950506,13881.2894750324,3275.04422644091,18234.3644580861,5186.58134728689,19436.2949508037,33007.1093844467,24106.2872653209,5156.28540106652,6295.15087178611,13828.6428658521,234941.865842445
62,3088.95723048657,173.852055722162,2002.23023077362,97763.6314097123,52340.5562684692,1390.47096649595,2723.17493069235,14269.5847390982,1650.20130197916,4079.33129856745,18711.0469297631,6828.23459947956,2166.76012853049,10451.8337608875,23636.924546282,135959.036836906
63,2054.98128719385,389.453262974679,12256.2929651078,538036.351894081,171490.692263223,15200.6482493676,34020.9259832627,63640.2264987738,19159.7746033041,49885.826275138,81018.2774380374,50638.3379149421,28026.9657270757,30091.0786734494,22186.3042557961,663021.32627508
