country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2123.7140635888,478.124497568754,7683.36420892107,169216.241758071,42192.631920493,1139.22162653079,276.065541792671,3586.68744269052,350.615574356032,1701.69679469384,7404.89998396578,7403.34343172529,914.156106568612,4931.26885429094,2373.22239905115,2734.60187325612
2,2157.55544778036,145.028064158288,8134.8538226122,1371952.00586404,296263.242051056,2891.58048005561,426.718293293227,14665.7753589806,4354.60058404959,6299.01355705102,35338.7265896028,11775.1637522938,6063.31505769613,38025.6123496443,20815.3471375202,2223.37128097071
3,1245.181119794,244.341171166619,10151.0184131776,2732123.00645189,612092.317719004,16662.0511289536,3804.10810226026,28943.1269247568,13867.8790976018,20895.6549913925,54009.1274973572,43213.1911936327,11337.3390339636,33297.3222224253,33808.4842548624,2725.15698894119
4,1406.17802997855,352.604493295448,14336.8380256453,347821.300389332,58378.600611088,5580.60582694067,1301.6898103489,5109.71536643837,578.053499009023,3782.92480958273,16720.4211666015,9957.5068440532,1040.44654353117,4137.04238371584,4479.8236880205,2808.98216978738
5,1461.4282248886,349.145522427029,15681.5818806614,1055054.5753064,128936.798329468,14893.9232305075,3935.13584912665,21239.8336951608,2511.54053250208,5880.76297479012,28170.2660915384,10807.8259462323,6510.5404254617,27331.3975737079,21304.0975738844,2943.27104165609
6,1473.06235055685,140.597642541257,7718.01194068301,605151.955193843,88612.0372209056,6559.6106797514,1598.4565884315,4832.92942824297,473.591367820072,5788.49773084544,29916.6741930358,8406.99308273554,946.791710755269,12355.9956789023,16039.0741308344,1546.85945076674
7,1707.46463201357,188.925663241506,11249.267358044,2287553.24657061,269619.151843766,6221.1117629246,8226.12409697701,19760.1253146394,7158.30091593578,21359.5960378433,64617.8305306508,19779.9527240492,4855.43818573943,30960.4667988765,59709.6131253107,2720.58784178051
8,425.007117991246,249.333073213146,13489.813711137,2583470.53869622,443862.227407711,29377.8138956784,25228.9335649748,20963.6110376485,22898.4748788604,21223.6699775602,49138.2327220444,18795.3520644722,12116.3076715964,35573.3929920857,28091.9386726642,3376.84106793884
9,3534.73874833337,227.49562985026,2299.62880490097,255482.76712899,134897.154260118,3818.24586841867,145.695905038875,3903.36157880949,347.55843309589,1687.20206787758,6434.13394289411,1678.66417601053,649.202492161543,4651.04967909649,4316.05398536654,2530.05041897151
10,2840.28390712126,229.122783909018,10268.38404146,511209.299141467,101438.171170039,3378.20963476555,17432.6302248004,5092.8988279133,3889.82107685555,3293.66489413129,6053.19538271945,3831.29989576178,774.58495807334,11235.3700017161,19302.8487680325,1981.8731128965
11,180.273684171917,717.012865998061,24507.7001519965,2794460.15724816,173715.153157243,10482.0098076792,4516.12439284569,39260.8817385783,14711.5982429443,49820.7977151025,61200.3210757143,72790.336395638,15294.9595814728,44622.7468765603,78320.8775428029,4983.37494995753
12,379.037422640417,425.432452798844,13683.1192445605,979513.128051075,49889.4870424896,5104.74057966253,550.847289436583,15656.7750480705,6601.15129164494,6780.99881132158,23134.7924435547,14866.1849497185,5609.5740772872,27751.9726733057,34199.4614806057,2549.67555500847
13,809.655573752671,440.757007511095,20244.2793962288,2980121.90909446,418269.760657126,5569.26419386121,16362.0708910723,57402.3364118363,97897.5394585824,5331.3163739933,35835.3875677837,11391.3732893742,15014.1569205353,24443.055857046,31255.2564670881,3703.54662297626
14,1428.4904957135,421.997886242408,13388.6869625988,292747.487763659,37024.4647232216,460.898219008891,2092.6013109027,9172.08487289785,4127.62771784208,1566.4016240965,4619.14220509244,4100.87349314006,1329.50214988168,7305.65781698026,10386.1670223753,2682.7792328769
15,2451.65359540159,307.630236265497,5679.93527707878,369398.727996061,195502.07083024,3321.7203164051,339.526835425852,7933.82747678515,2025.05806354208,2230.82506981436,5383.46901647106,3815.67535991846,2648.34756657123,6862.63245016181,10392.0193077407,3146.9579204609
16,3047.2822102078,165.761466478056,1869.79234946765,79784.2585276938,33370.9396029668,189.676347827142,64.5135804631572,1174.52439500926,427.181901096001,212.614138904373,3012.1738384927,633.299221402465,439.505423864063,1367.92657157231,2218.2370683523,1336.88447516499
17,157.625227485709,702.996164170924,22953.0850355441,2484653.55125544,357842.768997456,9047.0916697692,3770.35049501534,32777.5038996463,12282.1864264019,42302.1702076216,48279.5448706515,57422.6450187297,12751.8893810422,36130.3020158552,61443.778389546,4942.40791345184
18,155.487861052055,393.411435980194,16795.9184582344,1725748.14428725,215853.560174955,4284.26449695422,59836.9952896366,31377.4291449493,10658.784867622,6461.40838794609,14431.2335127984,9424.4103485988,11876.2944607157,34890.6991413711,43330.1022155593,3023.40550469141
19,169.402319984193,369.616820678718,19690.4478917778,2333916.40751337,385451.02240748,52852.3441038693,22516.9184418384,65043.6774209599,16691.5547363102,11351.1722306321,47834.6686555891,14983.9522889476,20670.1726629611,40057.9850599364,30844.0592583005,3346.85910581039
20,454.552000669633,278.757482011339,10748.0873635031,814498.486970659,297819.57052053,8813.94979619006,1428.31670316561,10070.5204938216,618.967391486235,6274.31635647971,26718.5364440387,7663.92765538438,2259.38086597439,20483.618377438,18864.3645517855,2722.42487700443
21,1692.75494230489,215.678067606055,3047.18789933061,93959.7178492948,24085.7243876899,3130.83801485601,653.378828653985,1108.27648751992,411.110430238898,624.172664698557,2012.40787903629,933.012311572326,415.964660073546,1329.14220930938,3150.91492366,1491.66708690471
22,1565.82941611594,365.493746984711,5191.97272476742,104563.812179743,27349.5095787402,377.043270207261,851.178072423332,2189.69276012747,336.081021393522,844.34103187611,1484.80732539762,1526.28236831364,1115.99703987917,3097.68570054352,4930.65593804599,2323.9315123891
23,2710.69912309479,233.035623340526,1915.9093576254,89757.4509166453,42220.0176408645,691.708241137356,190.733214567744,1089.41984300407,210.8360356395,349.657120490382,3431.8130375099,762.862046888344,391.288501804695,1839.05192494096,2139.60452752513,1777.23547256386
24,202.02568929728,410.304030845919,16491.8923559644,525504.52530141,137629.516881713,3296.0195018481,7426.86191922093,8974.88422023304,4457.07018874493,4215.89091612013,11051.8709915021,5442.33134051044,3877.65685275127,23234.7132550005,8469.42295238968,2948.68533410531
25,1155.15146346792,210.536530851473,3987.62391765154,155984.460645655,41039.1340748364,1046.50722798446,346.920300187029,1886.05341450499,460.522029710059,1423.02301983277,2981.18292543344,1162.35847158698,471.476904380935,5677.06222174981,4469.59726163309,1653.95455688868
26,175.445455303175,492.837071374772,25511.4607907752,4193759.47576861,725879.957836015,29626.2347589959,219.250616006532,37893.7385279644,5928.88144896174,37440.1536810479,86325.6390954777,51043.8230288799,8801.55224303002,189417.448932562,77440.273803101,5619.70571293888
27,1822.37243639008,298.462707641224,7850.83007983615,405751.398816226,244039.610174696,3261.23760045708,557.352176724852,5147.7250928231,441.597043851466,5302.66453175012,7864.23088000379,2818.95131297091,550.913722381915,3788.47126010796,15160.2595380409,2723.7732441904
