country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2161.43567412096,192.290417691938,1956.7805425681,39467.8818331764,9010.24499410662,298.908647492518,73.4249949776691,953.949217116717,93.2530246948327,449.796509753086,2098.11137899716,2097.67034401022,243.951411978302,1351.05228265797,679.70196560132,2050.85662122818
2,1729.72187250664,53.95384053605,798.546688043048,70663.1893816054,32911.4457799311,1552.35246314635,151.179452994627,7196.71378902538,766.526423201273,4515.53457084176,14915.6234428644,7404.13338848176,2255.75274731255,9843.89948135439,12225.9495776232,48515.0667130711
3,1376.3619445733,127.729656317835,5045.45814042039,1214641.42005341,264255.515867997,12390.4004580495,2349.72172345866,27871.8085764278,8193.42235123011,26329.9072545472,56768.982476115,44745.8098716081,7470.88426965839,19240.0606725408,24104.04664501,188879.635596015
4,1472.28078003617,166.383709199077,4297.32183779739,89935.4471254387,12987.1879239191,15001.1342716895,2131.84655990672,22617.8496327651,842.0984741876,26116.7169273645,80684.1072285527,40109.7668737971,2052.46459974284,8445.60798775931,9380.50097836857,259175.180639701
5,1496.95257924084,155.02000227558,3321.70142451027,118350.680829918,40005.0382763223,12493.9321351347,2254.38800045613,26730.2531670576,1179.55470522669,10874.4079317778,34478.082487927,13776.5739479241,4234.17727909798,20153.7366390667,10106.0988291649,181632.077477614
6,3533.23214660927,56.3959766874932,1260.19612943082,50330.5643575549,19726.4540997919,4386.12609509108,691.673267070727,3749.92102292784,140.133459073775,6756.93023499611,20321.6391363368,6657.1489299141,444.430158170442,5809.15042773639,8555.62415710838,57227.5046505759
7,1600.08265244262,80.980280776783,1670.8683960763,163605.623136124,58323.3460510337,3428.75058002051,3105.09427837994,16611.0336224974,2079.92739917985,26470.0269329606,58265.7487611159,18210.2292581526,2106.06917865722,16827.3671760286,14371.330633433,221449.427516164
8,1596.09845304485,106.42411925563,3367.3323666962,248386.853466523,89826.3624615781,15929.9444115787,9269.9474196679,18523.6822582591,8555.97323036543,27868.2448769002,51662.8394638169,17715.9632760526,5232.62314189786,18837.5196763772,11568.0491413817,269842.394439073
9,2517.41591922168,87.7684422237504,927.692822790481,100160.297293585,44879.3562174665,1497.15432571603,59.3384382092749,1589.74529717114,141.552191194873,672.695451692675,2962.2501045005,772.850421664008,265.110976237937,2005.78617429714,2100.53089606071,1806.48394134924
10,1802.07347862197,94.1409011639433,994.642640935675,29322.122762524,10807.146789674,3315.89157518346,11441.5736180746,3347.10075450995,754.137866109965,3010.19002020249,3188.03365688876,4049.30633400045,508.715327353039,12197.5328164351,3291.39894640344,19903.8094049306
11,1371.61736479436,270.214062554037,4228.1793882946,168877.007588073,32793.6084173602,3765.88691070469,1157.62650451485,21193.3529868684,3278.2585279799,38685.5295645972,36257.7664217226,45669.0779569394,4433.67501450015,11674.5739054137,18454.4281521774,226533.970572117
12,1386.57300333885,190.169809028452,3954.58377440423,112342.808628764,13957.5053222069,3727.3317028413,273.335818754219,15552.7933970111,2699.53699096268,9980.60461073814,26426.3552304721,17100.8327629642,3111.49737149958,11412.1993367377,24488.9637505622,152412.074260079
13,1587.16543178865,195.923700434379,8197.27231893065,761525.336815924,55683.7821250749,1219.99636017888,3716.68949548996,13039.0989122814,22237.6958859503,1188.39823575983,9117.63515039417,2898.31902384203,3420.74818686286,5860.21030252135,8448.4474392795,2445.8719953857
14,1402.91514734937,172.522723120902,1704.26960275553,30527.0299520242,4987.25151816272,679.259476716485,2096.46835830545,15512.2712575756,2486.64846749614,3851.81712739211,6685.62446023401,8313.85962365572,1438.90816731718,4897.7116989259,7740.20310279433,69199.2651855716
15,1622.94995681351,127.551009698902,1744.9685445067,109485.040329447,60148.7516237856,13554.5796597584,869.603762127588,50409.1067371779,4471.23802668771,21782.5687924414,35810.9510386822,23327.3390902589,7982.34974911615,18329.5485221438,28187.5021394115,315578.537076939
16,2895.24154071181,61.2043649778096,798.854636857221,30767.4648486161,14998.3686922556,76.8760178648821,26.5071478601538,482.585086432274,175.519227645409,86.8941809302051,1341.47382312804,282.040271667684,181.583066838114,585.690327951054,1011.99864255094,1024.80136365312
17,1024.20046312486,235.12829526448,4565.98396164153,189029.637821776,73824.3025838603,2496.68557531339,830.729456294536,9209.27659133406,1628.45562406848,15374.2645102591,12610.6210883736,24114.3476022557,2904.76619930446,7478.34743505087,11498.1274717206,57873.2034656464
18,2676.58991217216,128.958833164773,3089.40503532781,115270.765822226,33216.7163734578,1707.57397232917,18017.3664480478,10681.3263418422,1422.07786707743,2912.87881825987,4123.18490281238,5621.92332556486,3629.88209169279,11266.2383691118,8710.4625141646,44937.4023095212
19,2051.64694117609,113.934847725785,4981.88656841363,420304.629676142,113421.02280772,28277.9620898505,9472.51224677973,45145.686766365,5760.59519657523,10770.2569345585,37456.5780459135,13285.1855819991,9282.78904364431,17180.1414320448,15688.0512531242,199030.468531486
20,1325.07122617407,119.260096990164,2050.69963956552,113669.681086916,74880.8335601106,6712.70941975296,764.34212663268,9699.44024781788,241.558309886845,8703.08384325672,23443.3675293039,7627.32788145361,1313.95593428868,15566.9890441916,17182.8091633332,86219.1607259236
21,1708.57378227689,81.7160505112411,973.659579049415,24432.9787409073,4404.19971361108,14011.6538334405,1978.0650223708,3225.10600586773,319.632952721692,2500.36861735138,2476.38314299315,4388.97992243528,1257.17645172065,3207.79216177321,5460.41184472604,14789.0577958027
22,1595.52372951744,133.533147060569,1845.49827086279,32219.8420517028,7710.81431991518,129.074673902573,294.776685788175,758.325896350997,116.390274670299,291.087740082403,550.127871109815,565.494563254514,388.213402482968,1095.737106421,1914.55509725461,1983.56283906993
23,2675.66914365776,85.6511204322533,998.997306659489,47968.9903330655,15082.8687052813,6128.46888093074,1146.45362095777,6274.13590910412,387.075168085486,2761.07950434303,10768.7455470714,6708.86909626964,2334.5171559359,7536.12117903756,9872.51592740166,20547.4647901325
24,1173.90240148997,132.671398839615,2013.4894477994,50926.0059981845,13651.4665156959,1544.91424577919,2499.97796773423,5421.61425765783,1222.61225784343,3652.67590814354,7498.58437339453,4095.55502375397,1435.77195417815,7253.44779064302,3619.42576449439,47199.0636452648
25,1170.83217885207,93.8179696789763,1598.09597335128,56301.4712796513,14067.1020687254,1659.06372644555,392.587287441055,4200.30911206018,432.522941588221,4560.27850562845,8228.85551509986,2759.8785411856,597.174882575007,10599.7181060271,5623.43024888159,44636.6052068808
26,1239.0790519713,177.5593010837,5293.34286429835,395818.1475187,172343.368765977,11428.5975317793,62.323600329679,23534.7266228798,1608.3047146313,33141.4468518232,72130.5978479898,36430.3910247035,2850.2745256958,44859.4425120906,31395.1697273533,355610.215052427
27,1769.19029224027,126.105095318522,1584.31078497647,65296.63453397,38967.4129180002,11068.3029215948,1313.06004255775,19340.3198619929,527.974716087196,28607.6245315409,26411.9808525387,14457.0151608847,1397.02410642636,11977.8784411113,32001.7827405469,144078.52154089
28,1665.75627599837,79.0637979949784,2500.13942834527,82328.1174748643,30187.5553923057,8780.92592336398,4360.27799632495,18346.584782418,1669.30837747401,5496.75954881875,55227.1729485078,13663.5975966526,2313.5224645516,7129.50487461187,12367.6414968063,184601.231341796
29,3007.28772431447,95.1585113739544,1279.5565765997,44666.8557479272,10571.6542680501,11248.9315526598,1885.4874705171,13688.2221207944,625.775934743263,2578.91516325719,7095.22525245025,5371.15711528779,1168.50080743394,7387.76471060265,4068.36566343938,19268.8903486114
