country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1441.79940615026,208.783415238951,1917.10444727281,39346.1989577764,9326.97871151742,2160.04141144107,339.048008023568,16784.7710478168,687.236450606654,11245.3007544684,29507.7086509589,93455.5503101372,1334.48264405219,4925.88630692586,7267.61823240407,105052.86551925
2,1843.13836077938,79.5456083233219,3388.988145825,300839.761563296,76458.4675650508,1132.45163731683,127.933984393814,10197.696441118,1827.2780410132,6126.00300612694,21606.5691479419,19860.4564575498,1996.17673949943,12357.1085691675,10713.9555950282,60369.2196665284
3,1401.95299261408,141.419402221639,5245.55365993544,1285632.80592464,259747.435403808,12154.1401704033,2307.87533454366,28301.6739826432,8481.54230271521,26732.7600315925,57729.1770472255,42795.7238080258,7408.1423246377,18930.0111670121,22899.1967184754,194117.710813057
4,1497.47210194382,157.509988509535,5098.04398764252,125300.606478947,12630.3272131252,13416.4062348498,1954.55307377653,20327.3704632685,797.600721455963,23278.0848034585,73122.7358273411,35891.7021176393,1876.80928064547,7741.4224388823,8625.87501003136,228890.308863496
5,1568.51546273966,197.901259375038,7471.02262643984,554839.653620727,52080.6850202927,17796.2905079908,3561.77556403732,39018.6448883538,2254.59779592639,15119.5853727707,52118.2407434519,18350.9777556344,6591.16305245229,30312.191318189,16878.262231943,234604.370064883
6,1528.57717692573,73.3787122537664,2093.38887877139,78022.3292984411,28040.1672237508,5314.03878187474,810.752293083845,6303.76360690158,235.931797880972,11689.6201160512,38205.9131977372,9257.98835436581,566.178508384161,7676.57748887829,11087.9662906307,116693.91351892
7,1655.72996586489,109.959520219587,5042.95053316902,806172.495634133,116566.561432675,5012.93684931335,4969.94337145754,25003.7459597689,4051.32311251492,38177.3390476358,89531.7877556221,24756.3820299887,3327.89474941307,25055.1414678116,25922.9746442068,300567.95899467
8,1634.22914131547,131.726223513133,6012.06805358923,984574.533435661,130971.672269012,13840.6112461384,10371.8006851155,13440.8012063455,10730.6111111369,17853.6973063322,33633.5499345519,14042.5767847592,5279.14760486315,18708.2037065287,12568.6160819199,97650.9083026083
9,1591.12033473373,109.604367336812,2042.55577465827,192371.967805931,82944.2241295307,7541.6482218176,207.118794216147,12931.8096043706,647.685309054615,8926.48752470403,24636.1043319329,5388.39255915423,1051.9803678007,8141.90029466012,9089.97962096212,87894.5930770952
10,1661.61823325026,116.20256885956,1756.69728377867,45239.3408787588,14037.8447399427,4155.29007996478,12922.58665747,10804.5010902596,3061.63641924351,10914.690663903,16164.768148371,7346.04952844579,700.335917036564,19266.272265092,4937.35100944188,183821.365093018
11,1491.6878622434,371.434175225669,10457.9179626001,805499.77086421,40538.3311001874,6276.80375394432,2105.18988831849,37184.1051436252,7243.82102079775,65168.3157423612,66474.3316329872,72640.396186788,8026.66830615166,22112.2542546992,36881.8618190848,361621.799253096
12,1440.9817728267,237.917841863473,6572.75399959416,394637.175110779,16638.2060703608,4667.85617226978,374.450033541333,21578.0630653436,4733.77725082389,13308.070117927,37901.8761568301,20799.2819432555,4303.56032033021,17464.1771501905,31861.4606725086,197261.701637346
13,1584.98152113818,196.295521361471,8252.44925304836,764328.662191754,55952.0856599973,1369.04991517079,4006.9769472601,20342.8168703494,29441.2864629927,2144.11276529352,11727.6388485558,5682.71578683496,3753.93086305721,6739.65012549723,9700.0006038869,25706.0948528535
14,1522.40382924704,252.6163628098,6683.22808546733,121960.569126942,13397.6520083586,1259.35052899155,3754.00259325819,43979.185107815,8157.35199783735,11261.7628900375,22863.9823500452,18396.7251516154,2851.47934504934,10188.2668042738,18513.0603965892,248300.516306681
15,1694.20520694149,127.403337742946,2570.76363908079,135558.718887702,64955.8418536737,12192.3930868582,775.277118393028,50697.2718066139,4591.6343055864,22012.862496883,37369.2281123122,22188.7855995703,7356.1419020687,17273.6454525812,27741.0870436083,331438.492841537
16,2911.47934673076,63.0160456862203,740.456245087494,27195.4219689136,13627.28994483,2461.48327606009,509.111753512491,28118.9778124812,3358.5054507141,7859.80582912997,75495.3361850023,14221.704976353,4309.23004760243,9631.97433474562,32992.566596342,280351.240272199
17,1395.37931855859,243.837007202088,4561.06556643974,188965.804568318,73318.0308064286,4702.56803998643,1377.41339607918,31999.6638099207,4896.10149317573,59772.4605119492,58171.0258260233,62411.9094135162,5588.99676175044,14746.4768570906,23341.4246655358,384166.441734786
18,1684.38009094816,134.765429356732,2854.66365045696,106472.021451483,30767.7724986638,827.586017813398,8864.21483758117,13339.3135730063,2279.83584608332,3636.98743793606,6013.64693119553,4197.1039779945,1983.33305104371,8348.16973342619,7175.00532432434,82781.396481567
19,1653.1770376855,168.50915271046,7944.98812108279,611260.443360087,98833.9218838503,20269.8123546555,7236.16295349097,38306.364513022,6222.48962829844,9321.60653610775,32314.1628070834,10200.4121290737,7258.66852928558,14821.7743619016,12430.8344324332,151550.802072365
20,1501.21829231158,137.45097163251,3202.73390818298,166111.40536363,99383.6656651731,7019.20096131756,789.317871629652,13902.1007503111,369.057803028696,13053.4203687525,35189.6326939743,9156.45223945093,1439.10814126894,20126.6957305965,19844.1096348024,134434.917795069
21,1740.60587991824,86.6514077329147,996.830160188885,25290.5114682473,4770.04831893212,16984.522539851,2131.06751137678,10614.3721988031,1468.99486471846,9325.15829253055,17946.8982071033,7859.51522296167,1667.45171941919,4665.89230114349,9191.35787653236,157410.768909902
22,1602.37542046217,192.186791666017,2260.30250890026,40287.8878426676,9195.42445074879,2839.75092361807,3996.9479516521,30243.5683889284,1561.36549920769,17813.9022238315,23529.7874202856,19783.9138216606,6440.05195376924,26028.2897241695,26265.2353594683,294996.744316067
23,2672.97927245924,85.640777772199,1000.66765261418,47953.5176243255,15077.2281886033,7419.47929153248,1232.11750732301,20748.9824725722,1309.04488111652,10348.7304978669,66472.9804095023,12024.0038341249,3091.2077867523,10567.088893034,18748.9175059065,223177.45656757
24,1304.4746203935,163.561648610091,2225.74898401355,53447.4414975024,13688.2433253698,2405.5891839265,3554.16819515863,12093.7739455131,2828.64188185108,8909.79714994118,17430.4673004546,8429.0044889269,2236.00541525843,12517.9220754893,6280.1621342128,123504.953043574
25,1218.95172205598,109.172784234622,5179.73715419699,352964.709733793,34932.9112317831,5001.24350673165,1262.30083781937,13740.9978564986,1666.06993178193,14547.8570526136,27540.4981524436,8311.92571599419,1929.64416790334,32251.8427024132,18980.0101659225,138293.343854047
26,1308.54189477182,238.384416550222,10964.6833856031,1436432.17172357,240448.401928137,17222.1085085832,103.991816568242,33121.0810494221,2895.28716853139,43789.5378310268,97732.6638007777,47852.9201383709,4608.09138155895,81522.1723387595,46216.5017136874,406471.494872051
27,1802.72484469742,159.275924914838,6478.60946913227,539361.617888002,113583.622506,15606.1560209811,1889.51417153731,42593.997973199,1441.84411885623,63678.9481476822,73321.4524863629,23596.6953436838,2193.8815240462,19249.1542692952,52295.595081266,395678.877817337
28,1664.17321307981,90.4749738315089,3702.73131375607,189043.616457483,36902.4137866242,9084.37965223101,4746.6765906692,19109.0370526883,1951.00954102972,5609.28803784453,58140.8119243074,13750.6062922757,2495.54254705762,7621.06121261152,12849.833445913,183365.391000525
29,3003.9654050815,95.1753612538585,1288.06752985806,44987.4960823107,10642.3230191126,2098.28128741076,353.211198147803,12435.7096293841,1590.91295681883,2582.65602528099,8881.94440987165,3960.00505727452,257.620323095847,2872.20832249881,2191.00700541645,38531.6040568232
30,3081.98649513232,149.594331106017,2556.25986102279,103327.322403964,36346.4066735844,2852.27974245865,4155.47070305691,29831.3215505155,1624.58940523051,17405.3748742002,23260.081273664,19701.0091083713,6589.2192757651,26245.0845531884,27969.9850144872,283897.352653032
31,1928.94510061434,80.4896341623916,955.936062066771,22542.1859587906,7545.2011483393,3651.75886834006,985.097734591399,21181.0647083779,4255.91070381348,9957.94224142669,20387.1317390603,14539.5960711699,2066.81043397533,6468.20833779433,14152.7422666412,192726.140391936
32,1910.7522775606,99.3082042807966,2085.97474839241,107408.784793014,43896.4351685399,25123.2853785789,6189.99589973794,53280.8807871186,2306.88641535864,31618.0573926106,58753.4902779206,24851.2497468829,4565.19123440495,20238.5775392681,13159.0395978618,377742.101613424
33,1606.49136273197,268.513966486142,5254.81424997128,110803.960489927,16509.4094246227,1165.78863117236,32627.5433822791,38892.2731743014,19384.7709895974,5093.99406853076,35433.1235265332,18380.8927217816,4366.05647161371,8509.6219451783,14397.5741623389,398348.712263289
34,1366.34733832602,169.857711159654,6998.53463825886,622306.386892049,61236.5437815105,31873.098022106,6221.5469269837,14325.4080086451,4307.87567035805,7164.65688870565,32514.3867097159,5638.33792761467,3703.10974877975,11944.5256944696,10672.7524863047,100275.118500906
35,1014.80838596567,130.875445396324,2950.16524346306,90181.3442937624,22599.4265672966,794.606228312646,2163.29341559079,2646.37526127546,1029.12485367024,2859.01393344052,6774.03096910563,4319.25569739884,349.583577499948,3267.65592129587,3859.9806758112,16882.6532849127
36,1721.59579355621,106.568497427182,3270.25933386467,356467.253230438,213578.219562806,3005.76382662462,3106.62691841977,22050.4100696903,1949.41695177835,17367.4824746468,45337.4593782895,13534.7051474913,1418.51206787075,18522.9149640952,10397.4898220568,139718.62990296
37,1431.65549881978,128.90926784613,5899.8548413766,599587.243905783,65270.7296274094,8276.86605441522,10579.9246325805,35987.4695438064,9556.39020399938,20768.4324726708,36343.6131092593,14547.9054334043,4525.48256183139,16532.0585459743,17077.1135211994,193638.857072064
38,1898.55127548764,106.845035590802,3960.01266914888,212249.428662663,8566.9415612764,2486.10623712266,3282.11967524409,12477.852730976,1429.70063228128,6671.62284889288,10394.9136829803,3553.56007638981,775.267211000786,4090.61717038849,6976.33952685837,31657.7921182836
39,1691.8729520102,150.79663975877,4867.62367771137,179887.42615888,59282.3767245948,1572.54452304059,460.132826702047,23478.6427768334,5112.66925779715,11446.4566575858,15395.5609154905,16896.2809175484,2895.43118294488,4788.16894578215,6018.19314871102,85592.8399909575
40,1582.69150658349,79.5799407260792,3897.53669618296,290943.682498197,69010.4761712133,2732.56757562576,2899.53541418157,38178.7286255896,2180.49182164484,5534.39635302088,54204.1023373051,6860.48464766942,2785.20242408282,8738.99570361978,18644.1739847181,176996.025764393
41,1108.92865797439,177.244509899643,7071.11639087153,485417.36202467,151204.225935253,4552.77485021266,222.655728060719,31769.5668365259,2427.78586433145,20893.6582014725,59293.6090008811,64750.2364761009,5678.87831163795,19149.1717977834,14297.1631039311,234018.535599368
42,1481.61952159536,121.030747732308,3506.97102266418,341538.906777278,108108.295528934,1807.32311642937,4944.25387247395,25221.0729873533,1653.72296683544,19154.7070303926,22945.0206221851,21916.4256283105,5063.07281564209,17260.6961641705,11771.1749024935,132497.893068438
43,1924.8147037282,174.6996733146,4086.25244229675,210982.653395469,19047.1469571557,1819.23974161896,1003.71715748114,12908.7894531636,904.529338701588,7461.32565648262,30753.6298596154,19009.7859602001,1643.30966291071,11420.0811838887,12839.5033911515,89099.4005346284
44,3650,247.455117622282,2196.45431169155,77099.6087877117,46282.5627179711,8633.94192536142,35.3874919598978,24093.3365291778,964.358639695087,19645.0157069676,23917.8535070299,26478.1475532369,939.609871787604,7559.28969226275,13789.6039742689,138336.694897692
45,1683.95073015543,276.993500143563,6196.93301177579,109825.204935559,19134.9009690128,9742.99608145931,1492.73635115988,67943.1609975357,4262.62290483706,28773.7610785106,85596.1861876,48157.3270019952,11430.7505818168,19683.3306682037,14141.6453779155,434609.665974276
46,1899.17608267086,113.20312042141,2961.10924870695,184420.851026979,89711.7663442467,13796.2815336287,2416.38181400925,35162.955074447,1571.64351763952,14587.0496903601,47484.6838703116,16532.8716071961,4766.31648873662,23795.5727851663,11871.5573654859,257325.684606861
47,1442.39050924648,261.938408541119,9429.61458769409,505409.223687082,54474.0283710168,4928.48687402178,259.282162943225,35087.0399467469,3518.2885373947,26147.1650997981,46811.4565340918,21077.2109320982,2340.21934901217,32799.0668837156,59210.2921655496,337800.226625971
48,2137.44586095075,132.511978047716,1363.86775773024,50552.4093136608,10345.3213602874,395.235281646533,53.7846400545146,5219.3855581271,741.391903169101,5904.54914814845,10834.8688975221,3448.25909052145,293.216012182626,13289.5754174939,6363.51558241329,37247.7060227738
49,3650,38.7885054087171,1879.27133021776,96621.7224588857,33484.3652978311,1615.95492221795,2780.47877437831,15655.1054312144,2820.91141396595,2162.55947520836,14543.6253308342,4634.28790813617,897.531106734588,5083.91721566574,5192.51802035546,84583.8813034058
50,1558.90681449056,69.6636089522744,3671.72489650252,265674.69788066,41023.5282424371,10487.6528077475,999.592699602805,22044.2874786375,2128.56276071029,11913.2790499139,31028.1221737107,5437.13169168696,944.941796004416,13000.5571306548,9552.63359025192,133487.191949938
51,1617.64556462978,111.643335253003,3759.68877754253,77631.3973944042,16033.0000609131,5493.44455226494,1397.17739392331,48678.387608208,4498.60674781526,13933.7698924927,23316.7844021326,19148.6463462542,3486.81497768812,8851.46183967885,13804.6320388368,220982.283525109
52,1879.52633424517,76.2520686221018,684.894946690759,15778.5563693187,3523.84340704563,5200.00187027478,5308.13713667931,7517.34306899407,1893.39265643104,9561.32472203825,22263.4742247093,3105.68542981698,793.305265526316,20093.2697311088,8893.35452687581,144675.482839505
53,1927.53753272701,155.940233844835,6892.18917670491,338849.392518849,84580.8248079363,8553.82877087677,24706.2301375036,72329.6367000535,15598.6671307546,16178.2399954135,69485.4762259682,31747.777392055,8449.0921697487,26255.6233485743,25641.938089927,594663.606257293
54,1314.72181778471,242.789215246901,2061.93496836328,47607.8948440274,13049.9283201594,4153.59102708882,9093.64575978261,18500.1365683843,5726.57870560285,15039.3095292827,23156.5207943275,15078.756411942,7589.71516895439,8741.93252405259,6264.16309066356,194483.969153987
55,1659.35722885629,102.02065539974,2082.64702162767,138301.426984136,83113.0951039416,14153.3636611227,1730.68836957605,25923.3177312654,977.202516927989,11544.5740898798,65404.1282848281,10494.4337223282,3691.66590455614,20977.8441234163,21035.310479552,253754.366226902
56,1137.13290351636,118.189525630488,4880.83001533502,409557.863346701,70075.6502460577,4030.34873941602,1763.9797076847,29438.4309914745,7122.20264686816,3700.60288670908,21970.9671604266,8124.42335054998,4313.36196907245,8429.6648988034,22809.2175383416,137259.409881813
57,1666.77609975592,70.7038604365951,1593.70573657358,101058.893845969,48994.7599826403,3371.68745906178,2315.72484975725,22351.8746109709,5464.1394982308,4949.67102634525,20376.6098666934,6031.55740927141,2676.63923462201,3834.72309255466,14975.9882229397,153799.482592165
58,1666.99914504349,167.850375690197,10011.416057808,1218140.48160044,260286.607512764,6793.33408894094,1459.68792935255,37794.2070370808,3372.63890124273,28422.4319600294,77872.2664520347,42203.9007534605,0,70243.5394835762,66849.0068328468,599351.040057406
59,1746.21147636907,172.475396532488,4495.1604091982,157538.591866762,19104.1092791341,1771.84428269695,3230.91502635496,6987.04953387212,1754.54626874558,5227.58053085294,10101.4219624543,6358.73600432689,589.544661604693,7340.41381781644,7418.42143082889,41971.8451399194
60,1834.35960535734,219.671611116279,4737.50399244479,235150.901235898,58714.8157401142,34843.4240463919,45.8334220690945,33777.5915270995,8848.29165356344,9163.69569801952,67166.7805255226,57702.9764208421,3644.76787543392,15801.1009248357,35289.2221661657,441641.516950943
61,1667.35238560218,123.041865549468,3825.01397349564,63983.7276297373,10418.1191512217,10106.4684646412,2330.88504818749,13540.3371427201,3710.48158954024,14548.8849561121,24577.0095999535,17904.8668793884,3710.76401268692,4410.43763961001,9968.03103492846,178773.905260927
62,1147.91166381134,65.2809245078288,791.956849196739,33162.5105299569,15373.9072863356,1074.05124579887,1964.24612308164,11613.881905857,1196.35765134962,3394.46998339732,15345.2261183052,5558.92376424163,1621.05149730191,7452.34702082819,18758.0694675171,117829.556844509
63,1835.81002849894,138.771006508294,6935.46835349953,434968.500744144,90997.929401271,9029.64832390167,20858.9521388056,37253.5767215346,12241.3971954784,29230.0782981812,46772.0578241952,29949.6452266792,16921.4284244687,19022.1866195671,13455.9855194051,366892.615919798
64,1453.18564264917,139.554977358194,2378.33682811639,79970.1690430572,17061.1607848398,3271.28086237047,1124.19840658674,9336.36485287056,4276.35286725686,13980.2303973262,12685.3809832493,9518.99665400246,5751.15079485664,22959.5537420458,4146.77584850242,124837.883438278
65,2071.01818434173,93.2268392901169,5189.99998405434,547401.986542661,34614.3908729954,8868.52333780608,952.362215627721,17983.2388169502,2609.4815888415,9283.48572139322,19389.0946294077,3870.76640456572,833.461363796691,14170.0672496443,8976.36175685613,50852.1591777779
66,1876.02338846491,231.982440255407,5743.10161243907,419886.085734431,174970.317821423,3438.71491533481,12953.0765986687,152070.592429663,3783.48943332238,16799.7425941263,19097.6548173417,17050.700894536,1798.48084065521,28140.3807223575,7893.89360212299,340330.31731523
67,1625.51762582118,118.70783651596,1361.27089217499,69118.3512007311,20631.5844408126,9064.1148676654,5160.30088775628,33326.8769271238,3958.36378421753,4820.19641530396,29698.0110353936,7709.59747390803,5200.18411914006,7488.08979686609,10213.415084551,193714.725937999
68,1773.31104962152,137.720853026892,6298.09006331791,544241.617157793,108979.184377512,9487.61400721713,2042.3046404712,21385.0988936579,1699.99439111672,8509.86952035036,23915.4758833522,9498.25797035473,3612.32004008262,20653.8832297459,10047.1835096969,83411.7175781374
69,1557.12006833607,81.521194320939,4632.77486155805,468510.996789667,70065.113035776,1892.07689386196,4084.96095937598,11469.6559479179,644.197628275528,7738.30106441045,15107.4904649704,5691.91168621662,1396.44465817957,21342.7943435581,11350.0580824857,38182.1541727378
70,1213.92824055598,78.7177239589105,1108.21350286524,42404.9630942362,15360.1880494846,2080.57629166662,4229.80903980867,8075.65110697873,1512.09770353019,8455.19229173082,24636.1573150767,7802.02741957626,782.351291936798,5834.8761156821,6508.01692840228,110602.970938582
71,1704.12009725119,125.157312559964,1094.25450086459,25635.9558089006,13391.6341272584,2517.57499975624,6846.25664528497,24335.0495695171,5483.31114499693,3594.3247944334,19150.354717677,10055.696481981,2760.92640140284,3934.64887751608,4722.77185496339,146675.466550735
72,2000.09657689232,142.215909623171,4312.16952922566,149562.315631058,56622.3985958028,3799.32180358452,8359.97826309945,18187.406509441,4876.22646788193,36798.112450446,82392.9198960431,21430.0179303357,4041.2701396557,42354.3951348837,16714.3772466782,421751.653666216
73,1663.22547885654,165.126534417986,4930.75629096675,116990.582665663,18434.9830152035,4916.51688280618,1248.44181357297,40823.273953317,2088.9173179059,14720.996117864,21661.461468189,8504.5109644238,1877.91679095784,12317.8561390505,8652.14044768814,150213.512573904
74,1452.10599851087,147.58932510902,6364.04992608686,1188682.35271422,228079.069598328,7637.57191848577,7847.40476742889,48004.7932159952,4092.96678382274,35192.3429006023,99666.3297329289,27222.8068353141,3581.06495409938,39402.4620217572,20863.2941246579,298859.150829468
75,1229.76398732015,140.136913949448,5195.94303107985,385287.804213783,24610.8670966387,11135.1387967014,359.252374083455,11424.3622875869,2355.06983629264,7686.16299124781,33127.3546016346,17551.3018953261,2049.67581174288,16100.8051311999,32572.2016116739,169446.430720567
76,2724.29540663817,80.755396226143,722.365979655532,11939.8165249942,2728.24395864394,526.154565588749,869.412626441794,11142.5871538118,2339.61002590298,12524.0681691458,18411.1302313676,9019.1057327619,2962.25366799872,21171.8426551241,7635.18720922838,149240.42645852
77,1541.48837195612,76.802161467129,2163.23504071611,51299.488761254,22892.8211754393,3062.03774883891,899.436188415141,19547.8218773121,2230.60390510206,10578.5967749651,24675.3608769765,7214.33933234311,2810.95838810296,5836.87241698047,7903.57453190309,128284.036275299
78,1554.1914600821,257.951662408961,9538.27030952633,2498031.67074269,351503.90963851,6408.97668425044,6713.77151160217,67557.2287843176,21162.5272375545,29177.4352066703,62001.2379462904,63325.07397802,14567.231903275,90845.4612340592,92602.4910938694,508767.120829564
79,1809.26223382393,172.28387542688,3067.23003613006,99589.3669265814,59044.6605161402,1977.76919648747,6166.35219826612,51970.0649815014,11932.1083412734,24280.7710024274,67569.3085610713,32332.9498156431,5714.90956952039,21833.7602894494,28860.2987546506,506238.951195637
80,1754.38683072706,104.842632324306,2470.45779673263,104152.861636474,16613.812757577,2408.26122810895,447.86786692354,7277.14506651358,389.318767606112,4009.70744530379,6299.02076887858,2330.78936800109,255.514007969453,9061.2718949027,3460.42643147713,24122.626236224
81,1482.89380909906,94.8095642454847,4529.02706333521,651496.541937654,113143.068736031,2439.85959827389,669.933048133144,21055.8374692172,4430.09275450591,5122.9236192414,54072.4786314703,10591.8870847631,4952.83391765748,13342.911533969,28763.7286595437,132863.279301718
82,1919.40950010908,115.866525884416,1144.2853779904,21965.1862477711,6823.20929302159,1707.54562517853,763.796069957515,22597.2321231574,1943.81125751363,20826.094606595,48621.6882864975,10867.8254618971,1667.83710246849,12907.1334586358,32836.4210309237,246725.101626079
83,1427.40390325679,65.0147634345274,1802.89546557708,140903.215099672,107164.335963143,888.225847339693,605.479112996243,8524.89685475624,2373.47113107244,4682.90714575828,3258.3455115927,11276.1561370811,835.413829642105,9366.72614492549,3168.24417967879,28625.3812582616
84,1828.47870303542,101.641770460657,1471.50393177922,149788.162795231,87253.8572987909,719.071487066861,4765.21558245589,13278.2330209188,3487.64682097722,3459.38720404836,16539.7582454355,8610.74529401182,976.399417367401,5937.03932332434,18268.5998063507,95087.4873756675
