country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2161.43567412096,192.290417691938,1956.7805425681,39467.8818331764,9010.24499410662,298.908647492518,73.4249949776691,953.949217116717,93.2530246948327,449.796509753086,2098.11137899716,2097.67034401022,243.951411978302,1351.05228265797,679.70196560132,2050.85662122818
2,3564.35893307412,52.2646942655568,1090.29004385115,98132.3305726652,47185.364516774,216.579971645449,32.6278648900982,1121.37900915472,332.962804125857,476.011100491013,2900.94865247084,966.620722261409,464.005946599579,3013.78390054824,1738.95231976967,1347.92204101354
3,1218.98209278337,107.961697868162,4956.30639435551,1214673.07391832,257872.561908036,7036.16666998928,1647.30933246599,12533.3670369595,6005.26747528967,8922.9007830963,25326.6665011488,20264.094839619,4917.17443094814,15060.9827896517,16305.8736674959,2063.87579342138
4,1349.24798452866,147.920379068805,5061.01891737072,107665.426789509,17748.2316369809,1744.3801987482,413.159307415938,1621.83528295761,183.475495775689,1195.56831734743,5885.66719566529,3505.0894232091,333.53914092147,1375.56056912354,1631.82339021535,1917.7036211673
5,1412.76833617729,152.009376962029,6090.65444835112,302999.640779075,52341.4132010664,4310.821756008,1139.29698616693,6149.33751803107,727.138952509291,1698.85341857303,7881.54112357504,3023.83812687015,1877.15368315545,7824.84533243347,5802.2917402952,2080.08101701955
6,1433.43447327417,54.7886912383986,2731.36854151949,101940.176310553,27850.2222065654,1104.32276311931,273.635096550931,827.335018224533,81.0727176433958,982.574515098411,5490.34056523388,1542.86050835585,162.540297320047,2172.81538303176,3027.26394098949,998.405696026876
7,1560.22009057852,77.2541051556827,4465.79510989692,575954.469783457,86737.8717840628,1484.32881775503,1998.34163823426,4800.25352492336,1738.93933651958,5139.25451009392,16850.8190236185,5158.14908844057,1181.65189739031,7718.96351351016,16491.9246540908,1817.91434770638
8,1444.59747734174,101.748586963196,5905.2687961013,881197.291462852,161605.504922229,9562.82514653826,8402.15821790629,6981.6497119602,7626.03018417081,6982.30331483688,17822.0906934765,6816.94172852435,4045.46703414219,12257.5698895709,10715.9252896666,2444.07814328008
9,2517.41591922168,87.7684422237504,927.692822790481,100160.297293585,44879.3562174665,1497.15432571603,59.3384382092749,1589.74529717114,141.552191194873,672.695451692675,2962.2501045005,772.850421664008,265.110976237937,2005.78617429714,2100.53089606071,1806.48394134924
10,1694.72515910026,91.6804818215849,1118.77609666694,32544.7369544407,11131.3568005939,246.856241610464,1306.5975657314,381.719174057915,291.546983135092,243.582779696736,500.991324852669,317.096655456585,58.2220773190153,863.898443994929,1738.08733226843,1161.31981829013
11,306.017462931441,313.043032631802,11195.9489036948,965955.197685343,57818.9133906157,3230.68253950467,1423.92023174132,12378.8361348344,4638.52200629458,15549.9327967959,21395.0243851907,25446.778624972,4850.12787450059,14732.8455916726,29160.5910282714,3612.00882951679
12,441.352280677552,213.894269194962,7053.47928680488,482916.000976636,23677.9593660744,2415.10463370874,263.318531998708,7484.32297036208,3155.51242776412,3227.5447734043,11588.1054494455,7446.40001627902,2690.87046818134,13590.4534399147,17298.0608635036,2011.94031678735
13,1587.16543178865,195.923700434379,8197.27231893065,761525.336815924,55683.7821250749,1219.99636017888,3716.68949548996,13039.0989122814,22237.6958859503,1188.39823575983,9117.63515039417,2898.31902384203,3420.74818686286,5860.21030252135,8448.4474392795,2445.8719953857
14,429.011319841801,205.389707316183,5131.3432621987,97340.1669601486,15008.8096694183,157.965973427643,718.824416968847,3150.68069908905,1417.87141787767,538.072099008976,1627.45912317053,1444.85787253338,457.893325707719,2540.11785863204,3724.80054766057,2071.22882617558
15,1550.4041179093,115.293394728002,2153.15968270958,130843.673144827,72699.5661791195,1253.35682892821,129.721913382631,3031.2516518625,773.707345942538,847.379774199438,2184.56410820995,1548.36731006637,1015.27205818092,2687.46648413081,4385.39665040882,2341.5802070869
16,2895.24154071181,61.2043649778096,798.854636857221,30767.4648486161,14998.3686922556,76.8760178648821,26.5071478601538,482.585086432274,175.519227645409,86.8941809302051,1341.47382312804,282.040271667684,181.583066838114,585.690327951054,1011.99864255094,1024.80136365312
17,255.228615081402,300.224347910964,9151.59252248899,397248.462638297,116266.525524774,1404.27386890313,594.897007696579,5171.73112034064,1937.91955487902,6621.21159444604,8153.44203150624,9697.52736299262,2017.18214334321,5863.38832357831,10906.9342856361,3522.38424207242
18,241.599150134856,167.880575802335,7361.79350949116,335355.19754264,61311.0087326769,772.006085908756,11513.9121990031,6037.68558993734,2050.97720097449,1201.0655029217,3276.09868146349,2139.47742507482,2295.77871720081,7275.53425813089,10519.5251710687,2191.91428587412
19,298.453163568297,140.147039008014,9034.17948008901,913485.902414608,137971.663471041,18621.097093329,8477.5617540126,24488.7768931867,6284.32733426901,4121.61999929122,21135.3454276961,6620.53310704856,7801.29691409126,16335.6723620891,14359.4352664819,2306.91575929989
20,519.72500854673,113.042531250719,3921.54750132138,191194.4849221,94771.0710450842,2111.81579213261,345.042058183398,2432.76096293289,149.525509457028,1510.18277424246,6706.51151781711,1923.69141177342,547.068173044828,5010.23339812242,4745.54519628226,1950.19081861179
21,1700.91229437437,81.0353428297142,995.391205347817,25487.4876341434,4671.0576346753,912.568709818914,191.869694264567,325.453873764352,120.725724647997,182.95775269863,627.508132824982,290.931485429208,122.830212833641,401.536752514884,1009.64335148192,1140.91594364756
22,1595.52372951744,133.533147060569,1845.49827086279,32219.8420517028,7710.81431991518,129.074673902573,294.776685788175,758.325896350997,116.390274670299,291.087740082403,550.127871109815,565.494563254514,388.213402482968,1095.737106421,1914.55509725461,1983.56283906993
23,2662.68339930427,85.6750342151907,1010.25854486411,48705.566585184,15335.5505383174,372.703205338178,102.913526636308,587.816014558389,113.760364280825,188.200466458839,1807.74789805905,401.846559441963,210.46774521256,983.578935568653,1106.29207549885,1414.42215774691
24,310.674154907928,161.552415652928,3038.09282208967,77919.3647165662,22055.9019820945,510.611414923131,1209.82333237097,1461.99356512407,726.049247583744,669.144824275902,2112.62379667591,1040.3305203434,635.346346860118,4112.80261438426,1737.64644109092,1831.13538269344
25,1121.13192104202,79.6496269743946,1284.38788573513,40235.3178191246,9528.9061535655,287.79737732613,96.1760920105247,522.867202156821,127.669695542147,394.374578769425,904.754352254233,352.762280058678,131.876371149612,1619.31457910349,1425.70082425156,1284.51085618363
