country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2551.25907782961,174388.635669439,152905.226199033,272598.867571348,6579.19446752113,915.720757688388,2868.16528414191,9372.19757753205,754.969768904917,5961.40768724826,19098.4072886599,103595.97239368,738.583716185349,7896.33050756027,4304.69014659983,546777.44264661
2,1876.63543571205,49456.3009837405,53143.3408065192,297041.899856759,23219.3712483145,397.823722387998,60.5253320719084,3644.4865537458,1515.03340221314,2256.33741103613,11031.4054504555,14730.3133479278,835.629447133526,7854.51564382416,5119.88034276174,210264.146812182
3,1528.38595377053,916112.078892268,592633.3152287,3330187.85210805,381573.38926092,12218.6640617261,3152.95478473186,24121.5561756501,11226.0409252926,17698.0297616766,47872.1017860668,46697.0513091568,8322.94434153303,25818.9889198766,27492.1683774619,279957.879049266
4,1878.90655563122,355036.196753423,273399.191265624,437138.906536622,4940.90036665341,3678.12007443144,1057.89474096377,7578.28565779658,556.89833486017,6171.21177868071,32533.8265309192,29065.4462982713,696.903502147897,5676.21337951901,6074.84618150257,339201.21070431
5,1682.29128980651,808450.17054741,604881.19111023,2221179.14757475,88506.3314920699,19201.2454194478,8244.54603239271,31721.4665959601,3615.26904396677,9104.65069759866,41226.1926010141,16222.1986365695,8149.12403980094,38706.8820721185,28170.4776535334,307154.475624803
6,3181.12534634885,58766.4571160636,60483.6616520028,235768.058904472,10184.0128854142,1519.30780384567,841.134275855783,1553.77836781023,174.013425804608,2813.30049161912,13334.0123991556,6948.85499718617,212.610150101936,4817.08213001035,5678.36217534714,142812.016357869
7,1711.44502190273,136039.984569897,135801.04354701,784806.09646577,45807.1152257733,1281.59793861082,1714.15289006539,7321.09671766097,1847.83750800962,8419.42938993264,26747.3726933575,11681.7919858887,993.917675695094,10526.387217721,17353.7419238567,342566.271256182
8,1659.91948721753,390068.780051211,339568.900322982,2205409.32834465,190592.896314275,15160.9191733537,27631.0067986296,14041.8870567977,15389.7212313555,14228.8351193403,37182.1343838848,20455.3092227247,6234.75859759911,22935.5411063858,18078.8515260301,326423.556598858
9,1664.35333588674,72340.4576323386,64192.5003920415,483081.219165626,34261.4662559301,3631.85265545503,145.658063704918,3902.34776576499,347.468162372545,1641.31657247566,7651.02127158813,1996.14982101731,652.184899522063,5043.10929870127,5584.58800547551,7502.94458416894
10,3225.93707727606,85334.420202382,64087.6337259774,182681.410830091,6474.12834034151,668.178642105072,4516.91897725942,1893.98626821595,2301.61523011855,2279.68521419835,3824.0716311697,2268.70274465724,152.541296009335,6586.56823667854,6028.0766101617,255722.339309469
11,1686.90493037276,1270199.17921305,758123.015604924,3138827.24094827,66704.9607414325,6392.07109771142,2862.32260869445,30470.2670399158,11226.4509321977,37848.6692965113,51914.9239410979,95554.4433107401,9499.69914272032,32065.6865870461,64694.9493886491,487711.95954238
12,1787.39851304126,1007992.56574477,533316.294975521,1940179.18241377,27165.9423728936,5965.18505224413,1036.67749419591,20964.4609524951,9411.37053454324,9645.53367829309,38123.6822360687,25707.2981255035,6544.96265098221,37860.8929519838,56525.86133804,300707.129346436
13,2661.14603069092,528204.184726195,428661.669011709,1607190.61859216,55994.7848230192,1782.55910141963,11722.4140511246,26976.4274340199,42980.207152116,2218.98093191157,19578.2005593367,8999.46232276299,5129.57500348158,10213.5911278642,16867.3935024552,250746.982531079
14,1791.14778900413,347723.027439155,224742.717048133,595289.92107788,8675.70623464683,560.0559629087,6762.37250326627,18878.6705496276,8127.13111052233,3097.28388318211,8907.42545596683,11961.0275426871,1626.86178516012,10655.1535194334,15991.0537209246,257694.892081187
15,2546.56130363509,105536.810424749,103473.850915306,442202.863879831,37137.5217335516,2307.07547688735,238.397800427757,14302.3144251815,2823.35044903218,4240.63646010845,7842.98345633289,5003.26474194946,1806.91728596188,8790.80337833724,8783.09381719793,387876.540381974
16,3300.73100207086,52084.8163169496,56601.7768346691,141377.892307565,10743.5536883481,155.809150673578,53.9417196676698,3071.71621729894,1390.02274645061,1035.81902405992,9563.72212380948,2479.0363630652,367.652622697551,2353.07695049512,4506.02167911849,283039.678249531
17,1407.93932399363,461784.021320336,336489.920887935,1347022.88475031,57433.9526011728,2973.7702793409,1272.44818227348,16966.649392517,6339.42859968499,21859.9295911503,24980.6731935342,64330.6537034463,4226.45220274685,14974.5047215957,26669.8927026971,506351.605949596
18,1848.03742153727,633831.230482212,530793.359767484,1936615.15339945,59076.1007063349,2644.22100445378,46929.0174995429,26646.4837752166,8914.59727560712,5223.92009824219,14927.8400398634,9899.28668186188,7788.70317458111,28945.3752250331,47885.8304259518,356875.38855724
19,1799.84976385947,660776.215911347,610548.870162122,2775300.88914453,192698.988283513,35282.0199385249,24881.6696008606,58720.0580674712,14297.6261510929,9640.64535721771,47782.6933020718,16305.2211839614,14444.3606920244,33549.3085718514,29519.3058938137,465064.767676927
20,1631.63383148893,111568.18416959,96198.2109675807,464014.864687414,38423.2214681253,3090.88373746915,2783.13219387413,6889.47199514437,299.506678771702,4782.76078638568,17619.0040263813,5677.5977433769,773.383893759132,13583.3858556171,10585.3843591792,295240.467170459
21,3115.21997560093,83077.0615773992,68381.4493129322,101437.419245639,2091.10096638937,1724.4045411505,363.828554613773,1086.92779013995,961.087013191239,1596.72216284493,3236.67714388614,1764.20813166339,233.925564658878,1709.03875702074,2962.61555989753,198285.73513735
22,1866.35939614718,110096.082085246,135813.453457144,232188.153494546,5287.35196580858,432.715163374585,990.084608780589,2547.03589060768,390.927183588786,980.174879516169,1955.87207836253,2010.5053476095,1313.44227017967,3751.127147029,7049.97568314086,9418.84682573349
23,2901.27528931185,74202.8362032143,60224.2878865261,131893.311858169,6457.72643691221,492.786849651574,136.606357000629,1968.31604337474,533.025271144096,1556.71888203871,9592.16183430602,1996.29652342224,279.578017229012,2846.60733696297,2975.43650274171,263142.868653647
24,1630.18146453278,618279.3272067,473962.659714959,1877495.28705967,55797.6543566628,7056.46090186625,23312.039238442,21616.1060357995,11319.7647403495,10385.8611900004,31427.0343164508,15954.5500094849,8548.40832075615,58490.1973821926,24085.8012219729,206926.280174577
25,2453.20587886542,184248.439553878,190862.55605292,442259.422314909,13670.0210384792,1581.2574817859,891.505059342115,3640.56067601496,818.960828577692,2825.82728438259,6729.98761439738,2798.49836179118,720.924871016594,11227.943153532,8574.5509498216,80450.3017825854
26,1445.66420956654,676456.415495562,644426.659192658,3459785.58450875,238505.333173912,13294.9583383894,104.085238491686,19684.917974426,3381.41927394496,21572.5657639301,59834.6245601312,44212.5284215716,4092.38708790935,103560.256310779,49763.5842947225,540610.544968236
27,2006.77340280424,286109.061628996,248915.017324576,640191.237853111,48807.9589951586,2735.83131553339,467.845198119409,14993.2123590586,680.347786484438,12436.4632959972,16062.3436484438,19213.846861718,464.298561919318,6959.61321253021,19458.8696683584,502187.154074427
28,2470.04598767988,235240.410112025,204955.245487448,542073.44202979,41112.7802273356,3606.39032640726,7968.11757725119,8508.89125168643,1830.70345467596,1706.30118388456,28536.588772915,10179.4230194982,1260.90253641628,5918.31148634802,10482.5921375893,256586.537948679
29,3426.92927587622,84974.4896536863,62264.1927989867,163631.465599021,2166.11437427642,844.235427991534,1229.87038763235,11402.1687780087,2748.59893540104,1750.85359945854,7979.11854591412,3716.80209791116,132.548794519418,3338.19214553303,2325.64732108663,400694.35338875
30,2317.12951885501,137600.927371827,116067.841535205,337724.341867156,14587.7143797508,491.838647974001,1189.70568191231,6536.41474303438,984.682381476241,3373.12867807847,7405.50009975001,14756.8751188373,1516.39471101115,12538.4028122806,13132.4189752914,333588.25917304
