country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3453.00159653706,94293.0536497608,309531.532476021,290586.43880085,10275.5054511842,8863.77122922931,1518.8061134088,18600.4750578723,675.209015798408,11695.8474717562,25499.0952000086,63400.4619314055,4996.46519123315,15262.6875184531,18440.4994444511,58203.3034362156
2,2119.49547194129,90452.8932053589,374178.337208449,1261039.82737313,58966.2085160216,1322.92961140529,200.937989619819,6905.98800934088,2050.54411940792,2928.74392584122,19783.3770133859,6591.9891967619,2884.18726594663,19572.2010460037,12229.2188928025,25187.4386912258
3,1856.00911042307,257964.746471944,759702.94519405,2973071.92025434,398578.621494085,15462.8249626356,3306.95921670143,29028.275201373,11041.2052806806,23711.0768948458,61959.5273890231,54154.1923675123,10132.7531912149,29867.5233345962,37834.5778714498,143556.413120328
4,2105.86401900893,286020.152366332,696361.312311989,357316.643606228,11956.267740327,14471.067261492,2318.08326355343,15949.5835982922,740.067064903455,17268.4899940254,54394.7409448191,34756.0062426012,2039.19649307149,8297.26247751736,9704.41377389422,170118.963574009
5,2060.25662051434,246650.137392957,729465.477579517,600886.46217611,23394.952761752,13046.1817127014,2780.62016663683,15918.6901088755,1117.51353674255,5403.87359386026,17279.1177658339,11220.2014108543,4669.75327592667,20406.9966982839,12986.9121311469,73329.5619542451
6,2004.01876060362,86869.1009348384,310868.200478082,439195.748880357,19701.9033848449,5995.53635338702,1147.9263360159,4703.7166264475,273.166242753394,7420.70344468752,28290.4837646041,9113.47274760323,710.825201651708,9491.68262506999,14403.5389673684,62275.9451135575
7,2062.09311254915,147615.728280007,607832.636550429,2465566.24701347,140848.147460829,6261.23912562243,7148.70321759699,21838.8883425609,5204.80616637902,28933.1074547651,73212.9965846837,26186.9067143041,4379.79536971739,30966.3404608909,49061.009233433,167823.082362444
8,2098.46263010234,158645.50880783,631358.412679975,1268901.90546923,78383.2950321426,17936.3010489509,12723.0499334687,13973.8082543714,9177.5721711021,18040.0299480935,36549.9493165587,16509.6588179325,6428.30663750795,21430.2904651312,17078.6274803505,146126.954665817
9,2069.54661755768,113822.684580719,362283.970171738,2255702.95165737,239413.074679748,14502.1714615324,589.983006115898,15806.3261806078,1407.40790967414,6599.82702631923,33292.1232400281,8685.90786613695,2650.19872742231,21149.033174795,25435.1245422376,26753.7828603179
10,2094.39951754309,160169.618203026,408749.85688324,407289.762256503,19363.1587161136,1182.69735167505,6323.21566613752,1847.31146358515,1410.92751090729,1175.78960104807,2628.58097621113,1663.72987875285,283.85073470409,4289.21885593918,9648.4104867382,18177.4711355374
