country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3018.98281513497,96365.8871678819,333246.478183991,318722.148823981,11685.4431151372,1070.15854931563,264.26139050089,3433.32603099486,335.623774734544,1632.04298047479,9007.74340606248,9005.84992698636,897.967912883593,5261.36448356572,3057.5072137666,18224.0473094982
2,2119.49547194129,90452.8932053589,374178.337208449,1261039.82737313,58966.2085160216,1322.92961140529,200.937989619819,6905.98800934088,2050.54411940792,2928.74392584122,19783.3770133859,6591.9891967619,2884.18726594663,19572.2010460037,12229.2188928025,25187.4386912258
3,1811.40987656841,204074.864320125,838588.871264062,3281310.73778974,379759.879180287,13875.5692668612,3293.37150786008,25057.2452201703,12005.9884384867,17788.9749407729,59332.188975722,47472.2208069383,9955.90861711559,32589.5739242442,41989.6030694748,77968.1323023027
4,2092.51831149059,260846.607629348,749907.29084703,473559.440014229,13051.6717772832,3960.56368658345,950.589408509036,3731.48907613423,422.13707854276,2773.03364160352,17480.6349126252,10410.2366828263,792.523688171341,3526.91679452987,5463.96020716402,38378.7922665311
5,2021.69462338953,223274.101842813,1052427.94124028,849423.520426941,24542.4866121618,7705.96500880716,2017.37322015462,10888.7401451884,1287.55773774038,3069.08219617778,16921.1572014379,6491.98418104074,3421.5986620179,14800.2676859541,14070.2521862716,65924.5403212535
6,2400.95770691208,50814.5544498674,287068.331858761,530536.413846024,26685.8347892106,3479.7827408327,868.949679384186,2627.26714478934,257.45276425066,3134.12522637831,20660.6268708064,5805.91766541626,526.28290023956,7378.22286706341,12314.4247453784,19936.3424433662
7,1987.0865934294,124710.139034263,695443.472374605,3386757.92645831,195201.333969483,6042.58240154804,8177.48952700061,19643.29931177,7115.97954043695,21002.7112909392,72277.2220197482,22124.5439971572,4852.86709187727,32123.5490880665,73542.5850991595,59862.0061628087
8,1925.06920167651,197715.484768546,1109950.06898706,4420540.46490091,548550.999282506,35231.6934399857,31208.199527438,25931.9940889935,28325.4213283754,25923.850648965,74111.2442781454,28347.5178283924,15175.0558967696,47514.9239877308,48634.3857149875,98314.7531740933
9,2069.54661755768,113822.684580719,362283.970171738,2255702.95165737,239413.074679748,14502.1714615324,589.983006115898,15806.3261806078,1407.40790967414,6599.82702631923,33292.1232400281,8685.90786613695,2650.19872742231,21149.033174795,25435.1245422376,26753.7828603179
10,2094.39951754309,160169.618203026,408749.85688324,407289.762256503,19363.1587161136,1182.69735167505,6323.21566613752,1847.31146358515,1410.92751090729,1175.78960104807,2628.58097621113,1663.72987875285,283.85073470409,4289.21885593918,9648.4104867382,18177.4711355374
