\bfseries{LLMIC},,,,,,
Influenza-2009-X,No Closures,\bfseries{3.2},2.7,1.8,2.5$^*$,3.6\textsuperscript\textdagger
,School Closures,35.3,50.8,1.7,2.5\phantom{1},75.8\phantom{1}
,Economic Closures,5.7,7.4,1.7,2.5\phantom{1},7.3\phantom{1}
,Elimination,106.7,64.6,46.7,107.8\phantom{1},159.1\phantom{1}
Influenza-1957-X,No Closures,\bfseries{14.0},14.7,4.4,8.5$^*$,18.6\textsuperscript\textdagger
,School Closures,77.1,54.9,4.4,84.6\phantom{1},122.7\phantom{1}
,Economic Closures,17.1,17.5,4.4,10.6\phantom{1},23.0\phantom{1}
,Elimination,123.3,62.4,88.2,124.6\phantom{1},176.9\phantom{1}
Influenza-1918-X,No Closures,1034.9,161.5,932.5,1038.8\phantom{1},1145.1\phantom{1}
,School Closures,241.4,131.4,162.1,199.2\phantom{1},287.5\phantom{1}
,Economic Closures,\bfseries{200.5},114.8,125.4,170.5$^*$,243.8\textsuperscript\textdagger
,Elimination,228.7,114.4,173.3,207.6\phantom{1},254.5\phantom{1}
Covid-Omicron-X,No Closures,\bfseries{66.5},32.8,40.5,66.3\phantom{1},88.7\textsuperscript\textdagger
,School Closures,140.2,47.5,109.5,140.8\phantom{1},169.8\phantom{1}
,Economic Closures,79.2,54.2,39.7,63.4$^*$,105.7\phantom{1}
,Elimination,167.9,51.9,136.0,166.4\phantom{1},208.6\phantom{1}
Covid-Delta-X,No Closures,390.2,133.7,300.4,352.8\phantom{1},469.3\phantom{1}
,School Closures,286.7,132.0,183.3,261.7\phantom{1},358.6\phantom{1}
,Economic Closures,\bfseries{246.2},119.3,159.8,222.5$^*$,310.6\phantom{1}
,Elimination,265.3,105.2,196.8,239.3\phantom{1},308.8\textsuperscript\textdagger
Covid-Wildtype-X,No Closures,167.5,71.8,123.3,155.8\phantom{1},210.7\phantom{1}
,School Closures,149.0,51.1,112.4,145.5\phantom{1},171.0\phantom{1}
,Economic Closures,\bfseries{124.4},55.6,87.1,117.9$^*$,152.9\textsuperscript\textdagger
,Elimination,169.0,46.7,138.3,170.5\phantom{1},201.5\phantom{1}
SARS-X,No Closures,1019.1,319.1,803.2,986.9\phantom{1},1192.0\phantom{1}
