\textit{LLMIC},,,,,,,,,,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.1)
,School Closures,0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.4),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.2),0.1\textcolor{white}{aaa} (0.0; 0.6),0.0\textcolor{white}{aaa} (0.0; 0.3),0.0\textcolor{white}{aaa} (0.0; 0.0),0.1\textcolor{white}{aaa} (0.0; 0.2),0.1\textcolor{white}{aaa} (0.0; 0.2)
,\bfseries{Economic Closures},0.1\textcolor{white}{aaa} (0.0; 1.2),0.0\textcolor{white}{aaa} (0.0; 0.2),0.1\textcolor{white}{aaa} (0.0; 0.8),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.3),0.1\textcolor{white}{aaa} (0.0; 0.6),0.1\textcolor{white}{aaa} (0.0; 0.7),0.0\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.5),0.1\textcolor{white}{aaa} (0.0; 0.6)
,Elimination,1.8\textcolor{white}{aaa} (0.3; 3.8),0.2\textcolor{white}{aaa} (0.0; 1.2),2.9\textcolor{white}{aaa} (0.8; 6.2),0.1\textcolor{white}{aaa} (0.0; 0.3),1.3\textcolor{white}{aaa} (0.2; 2.9),4.9\textcolor{white}{aaa} (1.1; 9.3),1.7\textcolor{white}{aaa} (0.5; 3.4),0.2\textcolor{white}{aaa} (0.0; 0.6),0.9\textcolor{white}{aaa} (0.3; 2.0),1.4\textcolor{white}{aaa} (0.5; 2.7)\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.0),0.0\textcolor{white}{aaa} (0.0; 0.0),0.1\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.0),0.1\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.1)
,School Closures,0.0\textcolor{white}{aaa} (0.0; 0.1),0.0\textcolor{white}{aaa} (0.0; 0.4),0.3\textcolor{white}{aaa} (0.1; 0.8),0.0\textcolor{white}{aaa} (0.0; 0.1),0.1\textcolor{white}{aaa} (0.0; 0.3),0.5\textcolor{white}{aaa} (0.1; 1.1),0.3\textcolor{white}{aaa} (0.0; 0.6),0.0\textcolor{white}{aaa} (0.0; 0.0),0.2\textcolor{white}{aaa} (0.1; 0.4),0.2\textcolor{white}{aaa} (0.1; 0.3)
,\bfseries{Economic Closures},0.8\textcolor{white}{aaa} (0.1; 2.4),0.1\textcolor{white}{aaa} (0.0; 0.7),0.6\textcolor{white}{aaa} (0.1; 1.5),0.0\textcolor{white}{aaa} (0.0; 0.0),0.2\textcolor{white}{aaa} (0.0; 0.6),0.5\textcolor{white}{aaa} (0.1; 1.2),0.5\textcolor{white}{aaa} (0.1; 1.4),0.1\textcolor{white}{aaa} (0.0; 0.4),0.4\textcolor{white}{aaa} (0.1; 1.0),0.5\textcolor{white}{aaa} (0.1; 1.2)
,Elimination,2.5\textcolor{white}{aaa} (0.8; 4.8),0.4\textcolor{white}{aaa} (0.1; 1.7),4.1\textcolor{white}{aaa} (1.8; 7.7),0.1\textcolor{white}{aaa} (0.0; 0.3),1.8\textcolor{white}{aaa} (0.7; 3.6),6.7\textcolor{white}{aaa} (2.8; 11.2),2.3\textcolor{white}{aaa} (1.1; 4.2),0.3\textcolor{white}{aaa} (0.1; 0.8),1.3\textcolor{white}{aaa} (0.6; 2.5),1.9\textcolor{white}{aaa} (1.0; 3.4)\phantom{.}
Influenza-1918-X,\bfseries{No Closures},4.0\textcolor{white}{aaa} (1.5; 8.0),1.4\textcolor{white}{aaa} (0.2; 5.0),4.0\textcolor{white}{aaa} (1.7; 7.5),0.4\textcolor{white}{aaa} (0.1; 0.9),1.1\textcolor{white}{aaa} (0.4; 2.2),6.5\textcolor{white}{aaa} (2.9; 11.1),2.6\textcolor{white}{aaa} (1.3; 4.8),0.8\textcolor{white}{aaa} (0.3; 2.0),4.1\textcolor{white}{aaa} (1.9; 7.7),4.4\textcolor{white}{aaa} (2.1; 8.2)
,School Closures,3.4\textcolor{white}{aaa} (1.2; 6.7),1.7\textcolor{white}{aaa} (0.2; 7.0),4.2\textcolor{white}{aaa} (2.0; 7.7),0.4\textcolor{white}{aaa} (0.2; 0.9),1.2\textcolor{white}{aaa} (0.6; 2.4),6.6\textcolor{white}{aaa} (3.5; 11.0),3.6\textcolor{white}{aaa} (1.9; 6.1),0.7\textcolor{white}{aaa} (0.2; 1.7),3.9\textcolor{white}{aaa} (1.9; 7.1),4.0\textcolor{white}{aaa} (2.0; 7.2)
,\bfseries{Economic Closures}$^*$\textsuperscript\textdagger,6.5\textcolor{white}{aaa} (3.2; 11.1),1.7\textcolor{white}{aaa} (0.3; 5.6),6.8\textcolor{white}{aaa} (3.4; 12.2),0.4\textcolor{white}{aaa} (0.1; 0.9),2.5\textcolor{white}{aaa} (1.1; 4.9),10.2\textcolor{white}{aaa} (5.1; 16.3),4.3\textcolor{white}{aaa} (2.3; 7.4),1.0\textcolor{white}{aaa} (0.4; 2.3),4.5\textcolor{white}{aaa} (2.3; 7.9),5.4\textcolor{white}{aaa} (3.1; 8.9)
