\textit{LLMIC},,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0 (0.0; 0.0),0.0 (0.0; 0.0)
,Reactive-Business/Sustained-School Closures,0.7 (0.0; 0.4),52.7 (0.0; 121.5)
,\bfseries{Reactive-Business/Reactive-School Closures},0.8 (0.0; 0.4),7.8 (0.0; 14.3)
,Elimination,0.4 (0.0; 0.7),140.1 (132.0; 182.0)\phantom{.}
Influenza-1957-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0 (0.0; 0.0),0.0 (0.0; 0.0)
,Reactive-Business/Sustained-School Closures,3.1 (0.0; 2.9),81.8 (0.0; 135.7)
,\bfseries{Reactive-Business/Reactive-School Closures},4.0 (0.0; 3.5),17.0 (0.0; 23.0)
,Elimination,0.9 (-0.0; 1.8),165.6 (150.6; 192.1)\phantom{.}
Influenza-1918-X,No Closures,0.0 (0.0; 0.0),0.0 (0.0; 0.0)
,\bfseries{Reactive-Business/Sustained-School Closures},163.5 (6.5; 303.9),109.9 (91.9; 137.2)
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,231.8 (12.4; 419.3),75.5 (34.8; 112.1)
,Elimination,-60.1 (-232.7; 89.2),168.1 (146.1; 190.2)\phantom{.}
Covid-Omicron-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0 (0.0; 0.0),0.0 (0.0; 0.0)
,Reactive-Business/Sustained-School Closures,7.0 (1.3; 9.6),44.9 (2.9; 92.6)
,\bfseries{Reactive-Business/Reactive-School Closures},13.3 (3.4; 19.2),25.1 (4.9; 34.8)
,Elimination,11.2 (2.7; 19.3),100.4 (7.5; 171.6)\phantom{.}
Covid-Delta-X,\bfseries{No Closures},0.0 (0.0; 0.0),0.0 (0.0; 0.0)
,Reactive-Business/Sustained-School Closures,33.5 (4.8; 60.2),76.6 (5.9; 124.0)
,\bfseries{Reactive-Business/Reactive-School Closures}$^*$\textsuperscript\textdagger,61.0 (15.9; 102.0),74.5 (23.3; 118.6)
,Elimination,45.6 (10.8; 89.7),124.3 (55.5; 175.5)\phantom{.}
Covid-Wildtype-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0 (0.0; 0.0),0.0 (0.0; 0.0)
,Reactive-Business/Sustained-School Closures,25.2 (3.4; 41.5),93.5 (53.7; 131.1)
,\bfseries{Reactive-Business/Reactive-School Closures},45.7 (11.2; 72.5),81.8 (45.0; 115.1)
,Elimination,22.2 (-1.0; 53.1),135.4 (99.6; 172.7)\phantom{.}\phantom{.}
\textit{UMIC},,,
Influenza-2009-X,\bfseries{No Closures}$^*$\textsuperscript\textdagger,0.0 (0.0; 0.0),0.0 (0.0; 0.0)
